<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Аптеки36и6;D;20150105;000000;12.98;13.38;12.61;12.94;24900;0
Аптеки36и6;D;20150106;000000;13.09;14.25;13.08;13.46;69890;0
Аптеки36и6;D;20150108;000000;13.68;14.72;13.46;13.9;105410;0
Аптеки36и6;D;20150109;000000;13.66;13.93;13.5;13.69;16030;0
Аптеки36и6;D;20150112;000000;13.63;13.68;13.2;13.57;13420;0
Аптеки36и6;D;20150113;000000;13.32;13.55;13.17;13.49;9070;0
Аптеки36и6;D;20150114;000000;13.78;14;13.41;13.59;45130;0
Аптеки36и6;D;20150115;000000;13.75;13.97;13.7;13.95;22210;0
Аптеки36и6;D;20150116;000000;13.95;14.79;13.85;14.04;36350;0
Аптеки36и6;D;20150119;000000;14.17;14.5;13.96;14.09;32350;0
Аптеки36и6;D;20150120;000000;14.2;14.2;13.66;13.8;18570;0
Аптеки36и6;D;20150121;000000;13.93;14.14;13.74;13.86;14130;0
Аптеки36и6;D;20150122;000000;13.76;14.15;13.66;13.95;38850;0
Аптеки36и6;D;20150123;000000;13.08;14.1;13.08;13.96;31440;0
Аптеки36и6;D;20150126;000000;13.97;13.97;13.26;13.46;44930;0
Аптеки36и6;D;20150127;000000;13.27;13.66;13.06;13.27;55640;0
Аптеки36и6;D;20150128;000000;13.4;13.76;12.56;13.17;49740;0
Аптеки36и6;D;20150129;000000;13.26;13.37;12.55;13.15;21520;0
Аптеки36и6;D;20150130;000000;13.23;13.74;13.1;13.61;44130;0
Аптеки36и6;D;20150202;000000;13.76;13.87;13.15;13.23;42180;0
Аптеки36и6;D;20150203;000000;13.23;13.48;12.44;12.5;1175460;0
Аптеки36и6;D;20150204;000000;12.64;12.88;12.31;12.57;134480;0
Аптеки36и6;D;20150205;000000;12.65;12.67;12.35;12.59;148180;0
Аптеки36и6;D;20150206;000000;12.66;13.7;12.36;12.5;702090;0
Аптеки36и6;D;20150209;000000;12.6;13.47;12.6;12.9;568540;0
Аптеки36и6;D;20150210;000000;12.9;13.33;12.71;13.06;237820;0
Аптеки36и6;D;20150211;000000;13.63;13.81;12.9;13.49;588460;0
Аптеки36и6;D;20150212;000000;13.54;14.97;13.44;14.01;892530;0
Аптеки36и6;D;20150213;000000;14.1;25.1;14.1;21.8;7182390;0
Аптеки36и6;D;20150216;000000;22.4;23.97;17.44;17.6;3795600;0
Аптеки36и6;D;20150217;000000;17.55;20.98;16.96;17.71;2839780;0
Аптеки36и6;D;20150218;000000;17.89;18.48;17.2;17.66;700940;0
Аптеки36и6;D;20150219;000000;17.46;17.9;16.75;17.15;844740;0
Аптеки36и6;D;20150220;000000;17.3;18.93;17.03;17.78;1357920;0
Аптеки36и6;D;20150224;000000;17.81;19.55;17.04;18.06;2080290;0
Аптеки36и6;D;20150225;000000;18.05;18.5;17.3;17.58;663290;0
Аптеки36и6;D;20150226;000000;17.77;17.97;17.1;17.31;515680;0
Аптеки36и6;D;20150227;000000;17.22;17.37;16.72;17.2;428740;0
Аптеки36и6;D;20150302;000000;17.24;18.4;16.75;17.1;1211310;0
Аптеки36и6;D;20150303;000000;17.13;17.34;16.9;17.05;433320;0
Аптеки36и6;D;20150304;000000;20.06;20.06;16.91;17.04;1154410;0
Аптеки36и6;D;20150305;000000;17.04;17.2;16.91;17.02;354090;0
Аптеки36и6;D;20150306;000000;17.01;17.12;16.1;16.24;688800;0
Аптеки36и6;D;20150310;000000;16.16;16.16;15.03;15.25;382170;0
Аптеки36и6;D;20150311;000000;15.26;16.79;15.17;15.64;628660;0
Аптеки36и6;D;20150312;000000;15.86;16.8;15.72;15.98;417840;0
Аптеки36и6;D;20150313;000000;16.04;17.6;16.03;16.47;997130;0
Аптеки36и6;D;20150316;000000;16.77;16.77;15.8;15.95;245910;0
Аптеки36и6;D;20150317;000000;16.1;16.15;15.1;15.65;272810;0
Аптеки36и6;D;20150318;000000;15.69;15.99;15.48;15.76;117200;0
Аптеки36и6;D;20150319;000000;16.2;16.2;15.59;15.61;114920;0
Аптеки36и6;D;20150320;000000;15.62;15.69;14.05;14.89;781100;0
Аптеки36и6;D;20150323;000000;17.53;17.53;14.8;14.91;133420;0
Аптеки36и6;D;20150324;000000;14.9;14.97;14.34;14.65;182310;0
Аптеки36и6;D;20150325;000000;14.52;14.53;14.3;14.49;176320;0
Аптеки36и6;D;20150326;000000;14.42;14.49;14;14.2;197690;0
Аптеки36и6;D;20150327;000000;17.08;17.08;14.15;14.21;339330;0
Аптеки36и6;D;20150330;000000;14.2;14.45;14.15;14.38;264240;0
Аптеки36и6;D;20150331;000000;14.3;14.48;14.2;14.33;416510;0
Аптеки36и6;D;20150401;000000;14.34;14.44;14.25;14.35;179120;0
Аптеки36и6;D;20150402;000000;14.35;14.8;14.22;14.44;255250;0
Аптеки36и6;D;20150403;000000;15.15;15.15;14.38;14.39;127450;0
Аптеки36и6;D;20150406;000000;14.5;14.5;14.29;14.48;245660;0
Аптеки36и6;D;20150407;000000;14.49;14.54;14.35;14.5;196520;0
Аптеки36и6;D;20150408;000000;17.27;17.27;14.22;14.47;258850;0
Аптеки36и6;D;20150409;000000;17.22;17.22;14.29;14.48;120460;0
Аптеки36и6;D;20150410;000000;14.36;14.45;14.13;14.34;194810;0
Аптеки36и6;D;20150413;000000;14.36;14.58;14.23;14.45;143320;0
Аптеки36и6;D;20150414;000000;14.47;14.52;14.3;14.36;105080;0
Аптеки36и6;D;20150415;000000;14.38;14.43;14.31;14.4;178550;0
Аптеки36и6;D;20150416;000000;16.24;16.24;14.3;14.45;126380;0
Аптеки36и6;D;20150417;000000;14.46;14.46;14.13;14.21;213540;0
Аптеки36и6;D;20150420;000000;14.21;14.4;14.12;14.35;138720;0
Аптеки36и6;D;20150421;000000;14.31;14.44;13.91;14.14;307030;0
Аптеки36и6;D;20150422;000000;14.12;14.12;13.73;13.88;170910;0
Аптеки36и6;D;20150423;000000;15.98;15.98;13.66;13.91;274700;0
Аптеки36и6;D;20150424;000000;14.39;14.39;13.59;13.89;437080;0
Аптеки36и6;D;20150427;000000;13.89;14.12;13.72;13.89;147560;0
Аптеки36и6;D;20150428;000000;15.95;15.95;13.76;13.87;92320;0
Аптеки36и6;D;20150429;000000;13.88;13.92;13.59;13.74;202190;0
Аптеки36и6;D;20150430;000000;13.79;13.8;13.62;13.65;75040;0
Аптеки36и6;D;20150505;000000;13.65;13.99;13.65;13.8;84950;0
Аптеки36и6;D;20150506;000000;13.8;13.89;13.6;13.73;40580;0
Аптеки36и6;D;20150507;000000;13.7;13.92;13.69;13.76;338690;0
Аптеки36и6;D;20150508;000000;13.75;13.8;13.7;13.78;36220;0
Аптеки36и6;D;20150512;000000;13.78;13.91;13.62;13.65;142890;0
Аптеки36и6;D;20150513;000000;13.67;13.77;13.51;13.61;66350;0
Аптеки36и6;D;20150514;000000;14;16.8;13.81;15.84;4667230;0
Аптеки36и6;D;20150515;000000;15.85;16.79;14.64;14.9;1524810;0
Аптеки36и6;D;20150518;000000;17.49;17.49;14.43;14.62;304220;0
Аптеки36и6;D;20150519;000000;14.64;15.6;14.6;14.72;782720;0
Аптеки36и6;D;20150520;000000;14.81;14.81;14.6;14.61;196550;0
Аптеки36и6;D;20150521;000000;15.37;15.98;14.04;14.66;675190;0
Аптеки36и6;D;20150522;000000;14.98;14.98;14.3;14.33;156740;0
Аптеки36и6;D;20150525;000000;14.36;14.47;14.06;14.29;72380;0
Аптеки36и6;D;20150526;000000;14.4;14.46;13.88;14;211050;0
Аптеки36и6;D;20150527;000000;14.12;14.17;13.7;14.08;183880;0
Аптеки36и6;D;20150528;000000;14.1;15.39;14.1;14.65;826250;0
Аптеки36и6;D;20150529;000000;17.39;17.39;14.35;14.51;234300;0
Аптеки36и6;D;20150601;000000;14.72;14.72;14;14.18;168150;0
Аптеки36и6;D;20150602;000000;14.26;14.26;13.89;14.12;169780;0
Аптеки36и6;D;20150603;000000;14.28;14.98;14.02;14.31;247470;0
Аптеки36и6;D;20150604;000000;14.44;15;14.2;14.3;142940;0
Аптеки36и6;D;20150605;000000;14.43;14.9;14.11;14.44;193070;0
Аптеки36и6;D;20150608;000000;14.58;16.32;14.33;14.94;1042880;0
Аптеки36и6;D;20150609;000000;15.27;15.38;14.46;14.69;370860;0
Аптеки36и6;D;20150610;000000;14.8;14.9;14.51;14.74;140750;0
Аптеки36и6;D;20150611;000000;14.74;14.9;14.53;14.69;49240;0
Аптеки36и6;D;20150615;000000;14.82;15.14;14.65;15;211120;0
Аптеки36и6;D;20150616;000000;14.94;15.45;14.74;15.1;189000;0
Аптеки36и6;D;20150617;000000;15.08;15.19;14.81;14.98;66970;0
Аптеки36и6;D;20150618;000000;14.88;15.15;14.7;14.91;100560;0
Аптеки36и6;D;20150619;000000;14.99;15.13;14.9;14.94;48230;0
Аптеки36и6;D;20150622;000000;15.09;15.2;14.84;14.94;62870;0
