<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
РусАква ао;D;20150408;000000;63.4;65.9;63;65.3;1500;0
РусАква ао;D;20150409;000000;63;65.9;53.2;64;6200;0
РусАква ао;D;20150410;000000;60;62.9;58.1;61.4;1800;0
РусАква ао;D;20150413;000000;62.7;62.7;62.7;62.7;100;0
РусАква ао;D;20150414;000000;64.3;64.4;64.3;64.4;700;0
РусАква ао;D;20150415;000000;67;67;67;67;100;0
РусАква ао;D;20150416;000000;68;68;68;68;100;0
РусАква ао;D;20150420;000000;60.5;66.5;60.5;66.5;400;0
РусАква ао;D;20150423;000000;62;67;62;66.9;1100;0
РусАква ао;D;20150427;000000;61;63.5;60.8;63.5;1600;0
РусАква ао;D;20150429;000000;63.5;63.5;61.1;61.1;1700;0
РусАква ао;D;20150430;000000;62.5;62.9;60.5;60.5;700;0
РусАква ао;D;20150505;000000;60.2;60.9;60;60;1100;0
РусАква ао;D;20150506;000000;59.5;60.7;59.5;60.7;2300;0
РусАква ао;D;20150507;000000;59.2;59.2;59.1;59.2;300;0
РусАква ао;D;20150508;000000;60;60;59.1;59.1;2100;0
РусАква ао;D;20150512;000000;60;61.5;60;61.5;200;0
РусАква ао;D;20150513;000000;61.5;61.5;59.5;59.5;1400;0
РусАква ао;D;20150514;000000;58.1;60;58.1;60;700;0
РусАква ао;D;20150515;000000;60;61.5;59.1;59.3;1700;0
РусАква ао;D;20150518;000000;59.3;59.3;59.3;59.3;100;0
РусАква ао;D;20150520;000000;59.1;59.1;59.1;59.1;300;0
РусАква ао;D;20150521;000000;59.6;59.8;58;59;1400;0
РусАква ао;D;20150522;000000;58.1;58.1;57;57;1900;0
РусАква ао;D;20150525;000000;54.5;56.9;54;56.9;2500;0
РусАква ао;D;20150526;000000;58.6;60.9;55.9;56;2600;0
РусАква ао;D;20150527;000000;56.2;56.2;56.1;56.1;1800;0
РусАква ао;D;20150528;000000;56.2;60.9;55;60.9;8700;0
РусАква ао;D;20150529;000000;56.6;60.5;56.6;58;50900;0
РусАква ао;D;20150601;000000;57;57;55.9;55.9;15000;0
РусАква ао;D;20150602;000000;56.9;57;56.9;57;33700;0
РусАква ао;D;20150603;000000;56.1;57;56.1;57;400;0
РусАква ао;D;20150604;000000;56.2;56.2;56.2;56.2;100;0
РусАква ао;D;20150605;000000;54.7;59.7;54.3;59.7;1600;0
РусАква ао;D;20150608;000000;57;57.2;56.9;57;1300;0
