<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Белуга ао;D;20170721;000000;622;622;622;622;1;0
Белуга ао;D;20170724;000000;605;605;605;605;1;0
Белуга ао;D;20170725;000000;613;625;613;625;12;0
Белуга ао;D;20170726;000000;625;625;625;625;1;0
Белуга ао;D;20170728;000000;666;683;600;604;11502;0
Белуга ао;D;20170731;000000;620;620;600;602;13;0
Белуга ао;D;20170801;000000;640;842;630;679;276;0
Белуга ао;D;20170802;000000;670;670;618;652;73;0
Белуга ао;D;20170803;000000;680;680;628;650;51;0
Белуга ао;D;20170804;000000;648;648;646;646;2;0
Белуга ао;D;20170807;000000;620;633;615;633;5;0
Белуга ао;D;20170808;000000;614;628;606;628;116;0
Белуга ао;D;20170809;000000;616;621;600;617;5523;0
Белуга ао;D;20170810;000000;617;617;600;600;174;0
Белуга ао;D;20170811;000000;651;651;621;625;1090;0
Белуга ао;D;20170814;000000;631;631;611;615;14;0
Белуга ао;D;20170815;000000;637;637;637;637;1;0
Белуга ао;D;20170816;000000;610;630;600;614;20081;0
Белуга ао;D;20170817;000000;602;618;600;612;11101;0
Белуга ао;D;20170818;000000;606;606;604;604;26;0
Белуга ао;D;20170821;000000;603;603;600;602;5002;0
Белуга ао;D;20170822;000000;601;608;600;608;32;0
Белуга ао;D;20170823;000000;608;608;601;608;16;0
Белуга ао;D;20170824;000000;601;603;600;600;5026;0
Белуга ао;D;20170825;000000;601;608;600;605;5034;0
Белуга ао;D;20170828;000000;602;609;602;602;6;0
Белуга ао;D;20170829;000000;609;644;602;602;28;0
Белуга ао;D;20170830;000000;602;611;600;610;18060;0
Белуга ао;D;20170831;000000;603;618;602;610;59;0
Белуга ао;D;20170901;000000;604;619;602;602;48;0
Белуга ао;D;20170904;000000;609;614;603;610;49;0
Белуга ао;D;20170905;000000;613;616;605;605;97;0
Белуга ао;D;20170906;000000;603;618;602;618;20;0
Белуга ао;D;20170908;000000;604;604;602;603;83;0
Белуга ао;D;20170911;000000;603;603;603;603;53;0
Белуга ао;D;20170912;000000;614;614;602;602;11;0
Белуга ао;D;20170913;000000;611;611;605;605;2;0
Белуга ао;D;20170914;000000;603;603;603;603;1000;0
Белуга ао;D;20170915;000000;603;649;603;648;282;0
Белуга ао;D;20170918;000000;610;647;603;629;5085;0
Белуга ао;D;20170919;000000;618;625;616;625;9;0
Белуга ао;D;20170920;000000;616;624;606;606;11;0
