<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ДетскийМир;D;20170210;000000;90;96;83;85;35138800;0
ДетскийМир;D;20170213;000000;85.6;85.9;84.4;85.2;2282830;0
ДетскийМир;D;20170214;000000;85.5;85.5;84.64;85;2561550;0
ДетскийМир;D;20170215;000000;85.2;85.2;84.7;85;379180;0
ДетскийМир;D;20170216;000000;85.09;85.09;83.7;84.99;2647260;0
ДетскийМир;D;20170217;000000;84;84.9;84;84.9;630210;0
ДетскийМир;D;20170220;000000;84.9;84.9;84;84.85;117420;0
ДетскийМир;D;20170221;000000;84;84.9;84;84.8;216860;0
ДетскийМир;D;20170222;000000;84.79;84.8;84.15;84.75;626430;0
ДетскийМир;D;20170224;000000;84.01;84.7;83.75;84.7;109270;0
ДетскийМир;D;20170227;000000;84.9;85;83.8;84.48;814270;0
ДетскийМир;D;20170228;000000;84;84.99;83.8;84.93;6744560;0
ДетскийМир;D;20170301;000000;84.9;84.9;84.03;84.42;44400;0
ДетскийМир;D;20170302;000000;86;88;83.85;83.85;376710;0
ДетскийМир;D;20170303;000000;83.51;84.26;82.82;82.82;260170;0
ДетскийМир;D;20170306;000000;83.95;83.96;80.5;82.98;805580;0
ДетскийМир;D;20170307;000000;83.47;84.75;80.56;84.75;2274440;0
ДетскийМир;D;20170309;000000;84.7;84.7;82.28;84.6;1546990;0
ДетскийМир;D;20170310;000000;83.11;84.38;82.06;82.07;92400;0
ДетскийМир;D;20170313;000000;81.25;82.46;81.14;81.5;320800;0
ДетскийМир;D;20170314;000000;82.16;82.17;81.11;81.14;17350;0
ДетскийМир;D;20170315;000000;81.99;81.99;80.01;80.01;51190;0
ДетскийМир;D;20170316;000000;81.9;82.1;77.69;77.69;570540;0
ДетскийМир;D;20170317;000000;78.48;79.88;76.2;76.2;1295970;0
ДетскийМир;D;20170320;000000;77.69;78.91;75.01;75.01;1025970;0
ДетскийМир;D;20170321;000000;75.38;79.95;75.38;79;383940;0
ДетскийМир;D;20170322;000000;79.4;80.95;78;80.41;175580;0
ДетскийМир;D;20170323;000000;80.4;81.87;80.12;81.3;488860;0
ДетскийМир;D;20170324;000000;81.49;84.4;81.36;82.41;320450;0
ДетскийМир;D;20170327;000000;81.92;85.53;80.63;85.53;646820;0
ДетскийМир;D;20170328;000000;85.5;86;84.67;85.1;201150;0
ДетскийМир;D;20170329;000000;85.27;86;84.74;85.2;91060;0
ДетскийМир;D;20170330;000000;86;87.5;85.15;87.5;251800;0
ДетскийМир;D;20170331;000000;88.99;90;86.5;88;170570;0
ДетскийМир;D;20170403;000000;87;89.99;87;88.24;147070;0
ДетскийМир;D;20170404;000000;89;89.77;88.37;89;27460;0
ДетскийМир;D;20170405;000000;89.01;89.99;89.01;89.99;21940;0
ДетскийМир;D;20170406;000000;89.98;100;89.98;92;531630;0
ДетскийМир;D;20170407;000000;92.78;93;88.64;89.61;441400;0
ДетскийМир;D;20170410;000000;89.53;90.87;84.57;84.57;301240;0
ДетскийМир;D;20170411;000000;84.25;88.9;83.91;87.56;59650;0
ДетскийМир;D;20170412;000000;88.3;90;87;87.03;90920;0
ДетскийМир;D;20170413;000000;86.14;90;85;88.9;185550;0
ДетскийМир;D;20170414;000000;88.9;91.8;88.8;89.68;92410;0
ДетскийМир;D;20170417;000000;89.99;92;89.01;89.9;57560;0
ДетскийМир;D;20170418;000000;89.9;92;89.01;90.01;71190;0
ДетскийМир;D;20170419;000000;88.1;90.26;88.1;90;454630;0
ДетскийМир;D;20170420;000000;90.9;91.5;88;89;26440;0
ДетскийМир;D;20170421;000000;90.16;90.98;88.71;90.48;207880;0
ДетскийМир;D;20170424;000000;90.88;91.41;89;90;43210;0
ДетскийМир;D;20170425;000000;89;91;89;90.5;232210;0
ДетскийМир;D;20170426;000000;91.07;91.07;88;89.9;183090;0
ДетскийМир;D;20170427;000000;89.86;91;89.5;90;139900;0
ДетскийМир;D;20170428;000000;89.87;92;89.46;90.47;209060;0
ДетскийМир;D;20170502;000000;90.9;95;90.04;92;138390;0
ДетскийМир;D;20170503;000000;82.8;92.64;82.74;85.53;642290;0
ДетскийМир;D;20170504;000000;83.3;91;83.3;87.6;290120;0
ДетскийМир;D;20170505;000000;87.5;92.41;87.5;88.65;571490;0
ДетскийМир;D;20170510;000000;87.03;89.99;87;88.55;129960;0
ДетскийМир;D;20170511;000000;88.54;91.99;87.98;89;229530;0
ДетскийМир;D;20170512;000000;89.87;90.04;89.08;89.19;38380;0
ДетскийМир;D;20170515;000000;90.01;90.35;88.78;89.01;7630;0
ДетскийМир;D;20170516;000000;91.41;91.6;89.04;91.41;383850;0
ДетскийМир;D;20170517;000000;91.41;91.98;90.34;91.6;121770;0
ДетскийМир;D;20170518;000000;91.14;91.41;90.36;91.41;170030;0
ДетскийМир;D;20170519;000000;91.67;93.5;89.84;91.55;169070;0
ДетскийМир;D;20170522;000000;93.95;93.95;89.5;92;42720;0
ДетскийМир;D;20170523;000000;92.48;93;90.99;92;76190;0
ДетскийМир;D;20170524;000000;90.94;92;90.94;91.41;10130;0
ДетскийМир;D;20170525;000000;92;92;90.32;91.99;50370;0
