<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Лента др;D;20150105;000000;382;400;376;400;3150;0
Лента др;D;20150106;000000;387;418;386;402;4101;0
Лента др;D;20150108;000000;417;438;399;416;2967;0
Лента др;D;20150109;000000;413;415;399;400;1551;0
Лента др;D;20150112;000000;400;420;398;410;3843;0
Лента др;D;20150113;000000;405;477;405;451;16136;0
Лента др;D;20150114;000000;452;460;437;449;18474;0
Лента др;D;20150115;000000;434;450;419;427;4448;0
Лента др;D;20150116;000000;427;456;421;434;2655;0
Лента др;D;20150119;000000;433;433;420;426;3315;0
Лента др;D;20150120;000000;427;447;420;426;1776;0
Лента др;D;20150121;000000;420;430;418;423;2297;0
Лента др;D;20150122;000000;423;429;417;425;1340;0
Лента др;D;20150123;000000;421;436;418;419;3645;0
Лента др;D;20150126;000000;417;430;411;414;2092;0
Лента др;D;20150127;000000;411;429;400;420;2403;0
Лента др;D;20150128;000000;423;424;400;403;3072;0
Лента др;D;20150129;000000;405;407;381;388;6052;0
Лента др;D;20150130;000000;394;405;387;405;3492;0
Лента др;D;20150202;000000;395;404;374;381;15236;0
Лента др;D;20150203;000000;387;387;375;383;12300;0
Лента др;D;20150204;000000;382;385;378;380;3936;0
Лента др;D;20150205;000000;431;431;367;370;22926;0
Лента др;D;20150206;000000;375;384;367;377;14337;0
Лента др;D;20150209;000000;384;387;373;381;11990;0
Лента др;D;20150210;000000;380;386;374;374;17380;0
Лента др;D;20150211;000000;375;384;371;380;10581;0
Лента др;D;20150212;000000;378;409;374;399;19157;0
Лента др;D;20150213;000000;400;440;400;430;33063;0
Лента др;D;20150216;000000;439;440;419;439;9908;0
Лента др;D;20150217;000000;435;439;421;433;3732;0
Лента др;D;20150218;000000;434;434;410;426;3998;0
Лента др;D;20150219;000000;426;465;425;434;14143;0
Лента др;D;20150220;000000;455;458;421;458;9191;0
Лента др;D;20150224;000000;430;470;427;470;6215;0
Лента др;D;20150225;000000;479;479;443;463;2172;0
Лента др;D;20150226;000000;467;477;450;452;1510;0
Лента др;D;20150227;000000;455;463;422;452;1627;0
Лента др;D;20150302;000000;447;453;442;449;1478;0
Лента др;D;20150303;000000;452;452;423;436;6290;0
Лента др;D;20150304;000000;435;439;407;412;24445;0
Лента др;D;20150305;000000;413;418;398;404;10873;0
Лента др;D;20150306;000000;400;403;376;388;25818;0
Лента др;D;20150310;000000;389;393;375;391;11501;0
Лента др;D;20150311;000000;391;412;371;379;35589;0
Лента др;D;20150312;000000;445;445;378;412;29417;0
Лента др;D;20150313;000000;416;437;400;428;45755;0
Лента др;D;20150316;000000;429;435;411;423;8117;0
Лента др;D;20150317;000000;418;430;406;427;6644;0
Лента др;D;20150318;000000;421;429;394;409;8520;0
Лента др;D;20150319;000000;409;423;395;405;19148;0
Лента др;D;20150320;000000;406;420;389;407;18258;0
Лента др;D;20150323;000000;405;419;395;399;8760;0
Лента др;D;20150324;000000;398;411;394;407;16874;0
Лента др;D;20150325;000000;407;420;400;408;19805;0
Лента др;D;20150326;000000;410;415;396;408;11298;0
Лента др;D;20150327;000000;405;430;402;429;18563;0
Лента др;D;20150330;000000;426;451;425;440;11111;0
Лента др;D;20150331;000000;442;450;437;446;4063;0
Лента др;D;20150401;000000;453;458;436;449;11685;0
Лента др;D;20150402;000000;446;459;440;445;3772;0
Лента др;D;20150403;000000;437;441;436;440;802;0
Лента др;D;20150406;000000;441;448;434;441;1202;0
Лента др;D;20150407;000000;441;443;434;443;4600;0
Лента др;D;20150408;000000;439;441;436;439;2390;0
Лента др;D;20150409;000000;440;441;421;430;2995;0
Лента др;D;20150410;000000;436;437;402;417;7054;0
Лента др;D;20150413;000000;415;423;415;422;3506;0
Лента др;D;20150414;000000;422;422;400;405;12225;0
Лента др;D;20150415;000000;405;417;397;417;7776;0
Лента др;D;20150416;000000;415;425;406;421;17638;0
Лента др;D;20150417;000000;420;427;413;425;9941;0
Лента др;D;20150420;000000;427;435;420;423;22407;0
Лента др;D;20150421;000000;430;452;425;440;8045;0
Лента др;D;20150422;000000;439;451;421;430;10563;0
Лента др;D;20150423;000000;433;435;415;430;6050;0
Лента др;D;20150424;000000;432;443;413;432;8184;0
Лента др;D;20150427;000000;434;450;434;449;11280;0
Лента др;D;20150428;000000;449;458;426;441;8579;0
Лента др;D;20150429;000000;440;454;440;448;15915;0
Лента др;D;20150430;000000;449;459;443;446;3175;0
Лента др;D;20150505;000000;449;460;437;448;5736;0
Лента др;D;20150506;000000;448;451;432;440;7791;0
Лента др;D;20150507;000000;436;449;428;440;4633;0
Лента др;D;20150508;000000;434;458;433;446;4965;0
Лента др;D;20150512;000000;460;467;451;455;6119;0
Лента др;D;20150513;000000;460;460;448;449;894;0
Лента др;D;20150514;000000;454;454;444;446;2860;0
Лента др;D;20150515;000000;445;448;440;447;2479;0
Лента др;D;20150518;000000;443;448;435;446;1954;0
Лента др;D;20150519;000000;445;460;424;453;35653;0
Лента др;D;20150520;000000;454;466;450;455;13635;0
Лента др;D;20150521;000000;451;451;438;443;3734;0
Лента др;D;20150522;000000;443;459;442;451;2831;0
Лента др;D;20150525;000000;458;461;446;446;421;0
Лента др;D;20150526;000000;448;451;440;444;1633;0
Лента др;D;20150527;000000;446;459;440;452;8200;0
Лента др;D;20150528;000000;457;464;451;457;3347;0
Лента др;D;20150529;000000;459;468;446;448;1085;0
Лента др;D;20150601;000000;450;457;450;450;1923;0
Лента др;D;20150602;000000;454;478;447;465;3557;0
Лента др;D;20150603;000000;466;489;464;470;2698;0
Лента др;D;20150604;000000;463;473;461;472;2086;0
Лента др;D;20150605;000000;474;478;464;473;3416;0
Лента др;D;20150608;000000;476;476;449;456;4033;0
Лента др;D;20150609;000000;460;460;444;447;1215;0
Лента др;D;20150610;000000;447;451;433;439;2205;0
Лента др;D;20150611;000000;438;443;435;437;739;0
Лента др;D;20150615;000000;443;456;443;445;3653;0
