<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
MDMG-гдр;D;20201109;000000;490;490;463.5;466.5;80940;0
MDMG-гдр;D;20201110;000000;473;473;450.4;454;44870;0
MDMG-гдр;D;20201111;000000;454.1;478.45;452;478.45;37140;0
MDMG-гдр;D;20201112;000000;485;487.95;472;480.45;45530;0
MDMG-гдр;D;20201113;000000;488;489.05;482.2;486.15;19310;0
MDMG-гдр;D;20201116;000000;490.3;491;475;475;28750;0
MDMG-гдр;D;20201117;000000;475;484;471;472.2;14520;0
MDMG-гдр;D;20201118;000000;474.65;476.85;470;471.75;18020;0
MDMG-гдр;D;20201119;000000;474.4;474.9;471;472.75;8000;0
MDMG-гдр;D;20201120;000000;487;487;469.25;474;4530;0
MDMG-гдр;D;20201123;000000;470;479.95;470;470.5;5480;0
MDMG-гдр;D;20201124;000000;470.55;472.4;470;471;5370;0
MDMG-гдр;D;20201125;000000;470;471.05;468.9;469.8;9560;0
MDMG-гдр;D;20201126;000000;470;470;464.5;465.2;10940;0
MDMG-гдр;D;20201127;000000;465.2;473.95;464.8;470.1;8120;0
MDMG-гдр;D;20201130;000000;470.65;473.9;466.5;469.2;6270;0
MDMG-гдр;D;20201201;000000;464.05;472.35;464;470;6970;0
MDMG-гдр;D;20201202;000000;468.1;470.1;467;467;3060;0
MDMG-гдр;D;20201203;000000;464.75;468;455.4;455.6;15050;0
MDMG-гдр;D;20201204;000000;471.8;472;456.55;458.2;13220;0
MDMG-гдр;D;20201207;000000;469.7;469.7;456.4;457.5;11250;0
MDMG-гдр;D;20201208;000000;465.65;465.65;455;455;6130;0
MDMG-гдр;D;20201209;000000;462.65;462.65;455.5;456.05;5760;0
MDMG-гдр;D;20201210;000000;454.15;458.75;452;455.05;9160;0
MDMG-гдр;D;20201211;000000;458.3;458.3;449.9;455.6;9950;0
MDMG-гдр;D;20201214;000000;455.7;461;450.6;457.9;18530;0
MDMG-гдр;D;20201215;000000;462.05;467.15;458.8;466.95;5930;0
MDMG-гдр;D;20201216;000000;468.75;468.75;455;456;10920;0
MDMG-гдр;D;20201217;000000;456;458.25;447;450.25;26940;0
MDMG-гдр;D;20201218;000000;449.6;451.7;449.25;451.65;3620;0
MDMG-гдр;D;20201221;000000;450;451.6;448.05;451.4;4620;0
MDMG-гдр;D;20201222;000000;449.25;452.45;446.55;451.7;10100;0
MDMG-гдр;D;20201223;000000;455.7;455.7;450.7;451;2400;0
MDMG-гдр;D;20201224;000000;451.8;452.2;447;451;8030;0
MDMG-гдр;D;20201225;000000;450;453.9;447.6;452.05;2710;0
MDMG-гдр;D;20201228;000000;452.95;452.95;449.05;451.6;4850;0
MDMG-гдр;D;20201229;000000;457.8;461.95;447.35;451.55;13680;0
MDMG-гдр;D;20201230;000000;451.6;460.4;451.6;457.4;6930;0
