<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Магнит ао;D;20150105;000000;9728;10225;9700;9877;98677;0
Магнит ао;D;20150106;000000;9945;10710;9931;10400;259484;0
Магнит ао;D;20150108;000000;10401;11010;10352;10627;208567;0
Магнит ао;D;20150109;000000;10711;10787;10105;10542;176296;0
Магнит ао;D;20150112;000000;10530;10999;10405;10689;165464;0
Магнит ао;D;20150113;000000;10618;11271;10521;11180;145772;0
Магнит ао;D;20150114;000000;10856;11480;10856;11450;183178;0
Магнит ао;D;20150115;000000;11460;11689;11257;11304;183141;0
Магнит ао;D;20150116;000000;11304;11450;11122;11350;156920;0
Магнит ао;D;20150119;000000;10905;11480;10905;11235;136269;0
Магнит ао;D;20150120;000000;11196;11420;11082;11395;130418;0
Магнит ао;D;20150121;000000;11363;11870;11302;11855;151669;0
Магнит ао;D;20150122;000000;11868;12346;11722;12070;157226;0
Магнит ао;D;20150123;000000;12004;12332;11680;11750;163136;0
Магнит ао;D;20150126;000000;11602;11714;11317;11540;181632;0
Магнит ао;D;20150127;000000;11375;11530;11150;11270;183109;0
Магнит ао;D;20150128;000000;11300;11410;10122;10200;255561;0
Магнит ао;D;20150129;000000;10105;10850;10052;10550;225657;0
Магнит ао;D;20150130;000000;10566;10937;10515;10590;164334;0
Магнит ао;D;20150202;000000;10700;10752;10190;10190;126546;0
Магнит ао;D;20150203;000000;10309;10646;10175;10400;112906;0
Магнит ао;D;20150204;000000;10499;10523;10150;10340;95639;0
Магнит ао;D;20150205;000000;10050;10392;9951;10235;370427;0
Магнит ао;D;20150206;000000;10318;11180;10200;11075;335360;0
Магнит ао;D;20150209;000000;11109;11813;10950;11440;388873;0
Магнит ао;D;20150210;000000;11400;11575;11350;11490;109253;0
Магнит ао;D;20150211;000000;11550;11680;11461;11500;148764;0
Магнит ао;D;20150212;000000;11589;12248;11251;11855;364666;0
Магнит ао;D;20150213;000000;11950;12298;11949;12250;280364;0
Магнит ао;D;20150216;000000;12279;12279;11780;11920;158881;0
Магнит ао;D;20150217;000000;11878;12120;11735;11820;113759;0
Магнит ао;D;20150218;000000;12068;12068;11646;11766;174162;0
Магнит ао;D;20150219;000000;11710;11889;11612;11800;101396;0
Магнит ао;D;20150220;000000;11800;11926;11703;11796;87165;0
Магнит ао;D;20150224;000000;11750;11800;11401;11687;128026;0
Магнит ао;D;20150225;000000;11650;11653;11289;11510;96344;0
Магнит ао;D;20150226;000000;11545;11630;11362;11574;79404;0
Магнит ао;D;20150227;000000;11478;11500;11160;11305;93247;0
Магнит ао;D;20150302;000000;11423;11510;11265;11367;85167;0
Магнит ао;D;20150303;000000;11816;11816;11343;11650;143831;0
Магнит ао;D;20150304;000000;11643;11651;11060;11100;98214;0
Магнит ао;D;20150305;000000;11164;11560;11054;11360;105001;0
Магнит ао;D;20150306;000000;11335;11399;11178;11347;79403;0
Магнит ао;D;20150310;000000;11300;11345;10612;10820;200575;0
Магнит ао;D;20150311;000000;10821;10989;10650;10835;92466;0
Магнит ао;D;20150312;000000;11177;11177;10452;10600;135982;0
Магнит ао;D;20150313;000000;10650;10650;10233;10350;125868;0
Магнит ао;D;20150316;000000;10279;10575;10216;10350;130692;0
Магнит ао;D;20150317;000000;10406;10567;10256;10360;83403;0
Магнит ао;D;20150318;000000;10806;10810;10313;10699;101935;0
Магнит ао;D;20150319;000000;10800;10985;10500;10500;120607;0
Магнит ао;D;20150320;000000;10128;10900;10128;10900;105987;0
Магнит ао;D;20150323;000000;10892;10957;10519;10550;69896;0
Магнит ао;D;20150324;000000;10586;10875;10500;10798;69485;0
Магнит ао;D;20150325;000000;10806;11020;10733;11000;104477;0
Магнит ао;D;20150326;000000;11034;11297;10873;11140;159709;0
