<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.MOEXCN;D;20150105;000000;5465.0800000;5616.4300000;5449.9700000;5586.7600000;995430838
RI.MOEXCN;D;20150106;000000;5593.2000000;5768.0000000;5580.8000000;5738.3000000;2752398450
RI.MOEXCN;D;20150108;000000;5739.5400000;5838.3800000;5737.3100000;5756.0200000;2265708254
RI.MOEXCN;D;20150109;000000;5769.2400000;5828.3700000;5654.1100000;5731.6900000;1840668984
RI.MOEXCN;D;20150112;000000;5728.9700000;5802.2800000;5724.8500000;5799.0700000;1778325473
RI.MOEXCN;D;20150113;000000;5795.7700000;5878.1100000;5685.0500000;5878.1100000;1629539351
RI.MOEXCN;D;20150114;000000;5873.7100000;5961.4900000;5814.0400000;5920.5500000;2104207540
RI.MOEXCN;D;20150115;000000;5934.6300000;5996.7400000;5830.5400000;5838.9600000;2121692574
RI.MOEXCN;D;20150116;000000;5839.8700000;5883.1600000;5795.6400000;5808.0600000;1868866664
RI.MOEXCN;D;20150119;000000;5802.4900000;5856.5100000;5723.9500000;5723.9500000;1604779255
RI.MOEXCN;D;20150120;000000;5720.4000000;5823.0200000;5720.4000000;5779.8200000;1507775603
RI.MOEXCN;D;20150121;000000;5777.0900000;5919.9600000;5760.1600000;5919.9600000;1839593013
RI.MOEXCN;D;20150122;000000;5916.2900000;6071.7900000;5891.8600000;6042.6500000;1972791623
RI.MOEXCN;D;20150123;000000;6044.3000000;6105.3400000;5918.2300000;5927.1900000;2030710424
RI.MOEXCN;D;20150126;000000;5919.3400000;5975.8600000;5769.0300000;5815.4800000;2125316932
RI.MOEXCN;D;20150127;000000;5789.4000000;5794.9400000;5697.7300000;5716.6200000;2139060195
RI.MOEXCN;D;20150128;000000;5720.9900000;5792.4400000;5625.0000000;5640.6400000;2795974796
RI.MOEXCN;D;20150129;000000;5635.4900000;5741.7600000;5635.4900000;5664.9600000;2421115532
RI.MOEXCN;D;20150130;000000;5668.5900000;5754.2400000;5613.7300000;5640.2900000;1818936467
RI.MOEXCN;D;20150202;000000;5649.2900000;5721.9100000;5612.2000000;5612.4300000;1351366138
RI.MOEXCN;D;20150203;000000;5622.8300000;5701.9200000;5611.3100000;5642.6400000;1217533719
RI.MOEXCN;D;20150204;000000;5649.2400000;5679.8900000;5621.7300000;5668.9800000;1023614053
RI.MOEXCN;D;20150205;000000;5641.6500000;5721.2000000;5597.0700000;5674.3400000;3813197858
RI.MOEXCN;D;20150206;000000;5674.3400000;5883.0700000;5671.8600000;5844.0800000;3800849607
RI.MOEXCN;D;20150209;000000;5841.8600000;6055.4300000;5824.9800000;5992.7700000;4593792874
RI.MOEXCN;D;20150210;000000;5992.5700000;6141.9000000;5991.6900000;6078.1600000;1454052828
RI.MOEXCN;D;20150211;000000;6095.5000000;6360.0200000;6095.0100000;6221.3700000;2045187275
RI.MOEXCN;D;20150212;000000;6235.6400000;6416.1300000;6195.4900000;6354.4000000;4775866295
RI.MOEXCN;D;20150213;000000;6373.1200000;6526.3800000;6362.3300000;6526.3800000;3689198769
RI.MOEXCN;D;20150216;000000;6523.2000000;6536.9500000;6440.4300000;6493.2300000;2128326713
RI.MOEXCN;D;20150217;000000;6487.7200000;6547.4900000;6473.9500000;6522.7100000;1538093254
RI.MOEXCN;D;20150218;000000;6527.9100000;6593.0100000;6510.7200000;6569.4100000;2135052477
RI.MOEXCN;D;20150219;000000;6569.7400000;6595.7800000;6346.2000000;6402.8100000;1285953485
RI.MOEXCN;D;20150220;000000;6386.8900000;6537.2000000;6386.8900000;6471.7700000;1215588424
RI.MOEXCN;D;20150224;000000;6455.6400000;6455.6400000;6323.3300000;6438.2500000;1710523648
RI.MOEXCN;D;20150225;000000;6436.1500000;6479.4900000;6368.6400000;6408.5800000;1196454449
RI.MOEXCN;D;20150226;000000;6409.4900000;6540.8600000;6395.3600000;6501.5000000;1038245453
RI.MOEXCN;D;20150227;000000;6476.4900000;6509.0700000;6413.5500000;6456.2900000;1131760317
RI.MOEXCN;D;20150302;000000;6449.5400000;6549.3500000;6449.5400000;6510.6600000;1067035611
RI.MOEXCN;D;20150303;000000;6512.8100000;6615.7900000;6464.0800000;6582.7000000;1770142233
RI.MOEXCN;D;20150304;000000;6587.8900000;6686.5300000;6480.4000000;6482.7300000;1224269279
RI.MOEXCN;D;20150305;000000;6491.0700000;6642.3300000;6453.0600000;6545.3400000;1274890847
RI.MOEXCN;D;20150306;000000;6548.0600000;6578.1400000;6515.8100000;6549.9100000;952907300
RI.MOEXCN;D;20150310;000000;6549.5200000;6552.6900000;6370.2200000;6381.9500000;2293074794
RI.MOEXCN;D;20150311;000000;6390.4700000;6467.7200000;6343.7800000;6343.7800000;1067374305
RI.MOEXCN;D;20150312;000000;6373.7200000;6421.5300000;6324.4800000;6358.5500000;1497057726
RI.MOEXCN;D;20150313;000000;6352.7700000;6427.5900000;6336.2200000;6379.5600000;1391214672
RI.MOEXCN;D;20150316;000000;6387.4800000;6485.6700000;6310.8400000;6388.3700000;1415304355
RI.MOEXCN;D;20150317;000000;6395.3000000;6480.1100000;6337.6000000;6355.2000000;905277252
RI.MOEXCN;D;20150318;000000;6358.0300000;6397.5700000;6258.4000000;6285.4500000;1115242484
RI.MOEXCN;D;20150319;000000;6308.6100000;6350.0700000;6198.5800000;6210.8600000;1344066392
RI.MOEXCN;D;20150320;000000;6205.1200000;6284.1100000;6151.9400000;6264.2000000;1228851089
RI.MOEXCN;D;20150323;000000;6262.6600000;6324.2500000;6151.6700000;6166.4500000;789445307
RI.MOEXCN;D;20150324;000000;6173.0400000;6182.3500000;6092.4600000;6177.3300000;820604247
RI.MOEXCN;D;20150325;000000;6178.6000000;6284.1300000;6147.8300000;6211.6100000;1213947999
RI.MOEXCN;D;20150326;000000;6214.7800000;6270.0400000;6169.9800000;6237.1300000;1850747623
RI.MOEXCN;D;20150327;000000;6236.3600000;6236.3600000;6153.4700000;6207.9500000;1105848037
RI.MOEXCN;D;20150330;000000;6211.0100000;6314.4500000;6157.8000000;6295.0200000;1109702391
RI.MOEXCN;D;20150331;000000;6297.5800000;6315.0800000;6211.9700000;6294.8600000;1278831303
RI.MOEXCN;D;20150401;000000;6323.7400000;6435.1600000;6277.0600000;6406.9100000;1805217423
RI.MOEXCN;D;20150402;000000;6404.3500000;6434.6900000;6324.8800000;6379.2600000;1729299982
