<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
М.видео;D;20150105;000000;124.6;135.6;121.4;135.5;97120;0
М.видео;D;20150106;000000;135.7;147.7;134.5;146;241310;0
М.видео;D;20150108;000000;147.8;152.8;145.2;148.5;117120;0
М.видео;D;20150109;000000;149.2;150;143.5;145.9;51170;0
М.видео;D;20150112;000000;144.9;145.5;141.5;141.7;69350;0
М.видео;D;20150113;000000;141.6;141.6;136;136.9;129920;0
М.видео;D;20150114;000000;137.1;138.2;135;136.5;106780;0
М.видео;D;20150115;000000;138;138;133.5;135;127730;0
М.видео;D;20150116;000000;136;136;131.3;132;401450;0
М.видео;D;20150119;000000;125.9;133.5;125.9;127.5;286320;0
М.видео;D;20150120;000000;128.9;129.2;127.6;128.3;127640;0
М.видео;D;20150121;000000;126.1;140.5;126.1;140.5;471770;0
М.видео;D;20150122;000000;140.6;149.8;137.4;148.2;413790;0
М.видео;D;20150123;000000;149.3;159.9;149.3;151;203890;0
М.видео;D;20150126;000000;152;152.3;143;143.7;80630;0
М.видео;D;20150127;000000;136.6;143.7;135.1;142.4;277270;0
М.видео;D;20150128;000000;143.9;144.4;141.2;142.3;172750;0
М.видео;D;20150129;000000;142.8;145.5;139.9;140.4;170780;0
М.видео;D;20150130;000000;140.8;148;137.1;139.6;293680;0
М.видео;D;20150202;000000;142.7;146;140.5;141.6;123050;0
М.видео;D;20150203;000000;142.5;144.6;140.6;142;50040;0
М.видео;D;20150204;000000;142.8;144.9;142.2;143.8;131360;0
М.видео;D;20150205;000000;143.5;152.4;143.5;152;234850;0
М.видео;D;20150206;000000;152.2;159;151.7;157;345870;0
М.видео;D;20150209;000000;159.3;164.4;155;159;319360;0
М.видео;D;20150210;000000;158.8;163.9;158.8;160.8;172730;0
М.видео;D;20150211;000000;161;163.7;152.3;160.3;222460;0
М.видео;D;20150212;000000;163;168.8;158.3;165.8;437230;0
М.видео;D;20150213;000000;166.1;169.3;166.1;169.3;106390;0
М.видео;D;20150216;000000;169.3;176.7;169.1;174.8;232030;0
М.видео;D;20150217;000000;175.5;179.9;173.1;177;207340;0
М.видео;D;20150218;000000;178;182;178;181.8;117010;0
М.видео;D;20150219;000000;181.7;181.8;171;175;149540;0
М.видео;D;20150220;000000;175.9;179.9;171.5;173;57580;0
М.видео;D;20150224;000000;170;172;166.1;171.2;46860;0
М.видео;D;20150225;000000;170.9;172.3;162.1;166.5;89680;0
М.видео;D;20150226;000000;166.6;171.2;165.1;166.4;40550;0
М.видео;D;20150227;000000;170.7;170.7;165.2;166.3;33930;0
М.видео;D;20150302;000000;157.6;182;157.6;180.4;200680;0
М.видео;D;20150303;000000;182.7;182.7;175;181.4;124650;0
М.видео;D;20150304;000000;181.2;183.2;175.8;176;65770;0
М.видео;D;20150305;000000;175.4;180;175;179.5;140550;0
М.видео;D;20150306;000000;187.8;187.8;177.2;178.9;73270;0
М.видео;D;20150310;000000;178.8;178.8;172.3;173.1;44010;0
М.видео;D;20150311;000000;174.9;179.3;167;172.2;129280;0
М.видео;D;20150312;000000;173.9;175;171.3;174.2;16410;0
М.видео;D;20150313;000000;176;177;167.4;172;63360;0
М.видео;D;20150316;000000;173;175;168.1;169.3;23000;0
