<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ОР ао;D;20171020;000000;180;180;140.5;143.93;42020;0
ОР ао;D;20171023;000000;141.01;143;141;141.05;19730;0
ОР ао;D;20171024;000000;142;142;139;139;17980;0
ОР ао;D;20171025;000000;139.1;139.1;138;139;107480;0
ОР ао;D;20171026;000000;138;138;135.7;137;410020;0
ОР ао;D;20171027;000000;140;140;134;135;244340;0
ОР ао;D;20171030;000000;135.01;135.7;135;135;4460;0
ОР ао;D;20171031;000000;139.49;140;137.2;139;142670;0
ОР ао;D;20171101;000000;142.42;142.42;139;140;60290;0
ОР ао;D;20171102;000000;141;141;140;140;30040;0
ОР ао;D;20171103;000000;140;140.25;140;140;6400;0
ОР ао;D;20171107;000000;139;140.01;139;140;300060;0
ОР ао;D;20171108;000000;138.01;140;137;139.5;43160;0
ОР ао;D;20171109;000000;138.5;139.98;137;137;382030;0
ОР ао;D;20171110;000000;138;138.01;136.9;136.9;19200;0
ОР ао;D;20171113;000000;139.97;139.97;138.8;139;150;0
ОР ао;D;20171114;000000;139.74;139.74;136;136.5;201050;0
ОР ао;D;20171115;000000;137.01;138.54;135.5;135.5;300760;0
ОР ао;D;20171116;000000;137.01;137.01;134.79;135.1;3110;0
ОР ао;D;20171117;000000;135;136.5;135;135;1960;0
ОР ао;D;20171120;000000;135;135.02;134;134.99;720;0
ОР ао;D;20171121;000000;135;135.01;133.75;134.88;490;0
ОР ао;D;20171122;000000;131.51;134.87;129;129;3760;0
ОР ао;D;20171123;000000;125.03;129.99;82.01;125;3080;0
ОР ао;D;20171124;000000;127.49;130;127.49;129.4;4250;0
ОР ао;D;20171127;000000;128.01;130.16;128.01;129.89;4140;0
ОР ао;D;20171128;000000;128.99;129;127.01;128.99;300;0
ОР ао;D;20171129;000000;128.99;129.01;128;128;60;0
ОР ао;D;20171130;000000;134.98;139;128;133;38570;0
ОР ао;D;20171201;000000;136;136;131;134;3000;0
ОР ао;D;20171204;000000;138;138;127.01;128.15;1410;0
ОР ао;D;20171205;000000;131.6;134.64;126;132;2020;0
ОР ао;D;20171206;000000;132;135;126;127.97;9180;0
ОР ао;D;20171207;000000;128.02;128.02;126.5;126.5;1310;0
ОР ао;D;20171208;000000;125.01;126.63;123;123;960;0
ОР ао;D;20171211;000000;121.61;127.46;117.03;126;7780;0
ОР ао;D;20171212;000000;126;126;126;126;20;0
ОР ао;D;20171213;000000;126.95;127;120.02;120.02;2220;0
ОР ао;D;20171214;000000;125.94;126;115.01;121;5540;0
ОР ао;D;20171215;000000;122.01;125.9;122;125.9;5390;0
ОР ао;D;20171218;000000;125.27;125.27;119;120.2;26010;0
ОР ао;D;20171219;000000;120.2;120.96;119.8;120;379850;0
ОР ао;D;20171220;000000;120.48;122.1;119;120;499510;0
ОР ао;D;20171221;000000;120;123.9;119.46;122.01;121410;0
ОР ао;D;20171222;000000;121.5;122.5;119;119.6;162800;0
ОР ао;D;20171225;000000;119;119.98;119;119.78;8570;0
