<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
FIVE-гдр;D;20180201;000000;2200;2225.5;2082.5;2110;179977;0
FIVE-гдр;D;20180202;000000;2129;2130;2015;2052;129069;0
FIVE-гдр;D;20180205;000000;2070;2090;2013;2089.5;67260;0
FIVE-гдр;D;20180206;000000;2060;2088.5;2005;2070;60393;0
FIVE-гдр;D;20180207;000000;2020;2117;2020;2090;22826;0
FIVE-гдр;D;20180208;000000;2090;2195;2060;2134;32091;0
FIVE-гдр;D;20180209;000000;2064;2120;2035;2046;28724;0
FIVE-гдр;D;20180212;000000;2065;2125;2052.5;2100.5;11486;0
FIVE-гдр;D;20180213;000000;2150;2150;2091;2140;27529;0
FIVE-гдр;D;20180214;000000;2149.5;2172;2142.5;2150.5;28268;0
FIVE-гдр;D;20180215;000000;2150.5;2155;2112;2144;22475;0
FIVE-гдр;D;20180216;000000;2157.5;2260;2080;2130;55935;0
FIVE-гдр;D;20180219;000000;2209;2209;2060;2079.5;41100;0
FIVE-гдр;D;20180220;000000;2075;2075.5;1941.5;1979.5;83633;0
FIVE-гдр;D;20180221;000000;1979.5;2019.5;1905.5;1958;44033;0
FIVE-гдр;D;20180222;000000;1958;2030;1930;1996.5;52056;0
FIVE-гдр;D;20180226;000000;2020;2035;2003;2017;13766;0
FIVE-гдр;D;20180227;000000;2034;2034;2003.5;2017;3936;0
FIVE-гдр;D;20180228;000000;2006.5;2029;2002.5;2015;13954;0
FIVE-гдр;D;20180301;000000;2023.5;2040;1994.5;2040;56625;0
FIVE-гдр;D;20180302;000000;2020;2044.5;1969.5;2000.5;93981;0
FIVE-гдр;D;20180305;000000;2006.5;2050;1980;2016;41937;0
FIVE-гдр;D;20180306;000000;2001.5;2032.5;1930;1943.5;140872;0
FIVE-гдр;D;20180307;000000;1957.5;1960;1920;1946.5;155042;0
FIVE-гдр;D;20180309;000000;1935;1968;1935;1955.5;102546;0
FIVE-гдр;D;20180312;000000;1965.5;1980;1937;1960.5;84376;0
FIVE-гдр;D;20180313;000000;1975;1975;1905;1910;122430;0
FIVE-гдр;D;20180314;000000;1922;1922.5;1867;1885.5;112525;0
FIVE-гдр;D;20180315;000000;1861;1965;1850;1965;165872;0
FIVE-гдр;D;20180316;000000;1948.5;1966.5;1926;1965;126067;0
FIVE-гдр;D;20180319;000000;1965;1981.5;1894.5;1915;102842;0
FIVE-гдр;D;20180320;000000;1910;1917;1878.5;1891;118732;0
FIVE-гдр;D;20180321;000000;1890;1936;1875;1920;165885;0
FIVE-гдр;D;20180322;000000;1930;1946;1861;1875;128810;0
FIVE-гдр;D;20180323;000000;1865;1900;1800;1858;153519;0
FIVE-гдр;D;20180326;000000;1858.5;1862.5;1809.5;1811;113558;0
FIVE-гдр;D;20180327;000000;1821;1849;1800;1846.5;86284;0
FIVE-гдр;D;20180328;000000;1847;1847;1801.5;1838.5;88536;0
FIVE-гдр;D;20180329;000000;1845;2019;1830.5;1932;337733;0
FIVE-гдр;D;20180330;000000;1965;1978;1927;1932;50449;0
FIVE-гдр;D;20180402;000000;1947;1965;1913.5;1949.5;30725;0
FIVE-гдр;D;20180403;000000;1950;1961.5;1919;1948;130619;0
FIVE-гдр;D;20180404;000000;1958;1959;1927.5;1959;81702;0
FIVE-гдр;D;20180405;000000;1960;2050;1946;2050;152747;0
FIVE-гдр;D;20180406;000000;2030;2069.5;2000;2025;98551;0
FIVE-гдр;D;20180409;000000;2020;2022;1730;1892.5;341118;0
FIVE-гдр;D;20180410;000000;1884.5;1973.5;1865.5;1937;236848;0
FIVE-гдр;D;20180411;000000;1923.5;1965;1812;1875;192975;0
FIVE-гдр;D;20180412;000000;1880;1948;1850;1913.5;194148;0
FIVE-гдр;D;20180413;000000;1907.5;1940;1881.5;1901;109130;0
FIVE-гдр;D;20180416;000000;1857;1938;1855;1930;96075;0
FIVE-гдр;D;20180417;000000;1942;2056.5;1896.5;1969;174543;0
FIVE-гдр;D;20180418;000000;1961.5;2100;1960.5;2055;142706;0
FIVE-гдр;D;20180419;000000;2061;2095;1960.5;1974;108519;0
FIVE-гдр;D;20180420;000000;1974.5;1995.5;1952;1974.5;79574;0
FIVE-гдр;D;20180423;000000;1974.5;1993.5;1908;1940;178232;0
FIVE-гдр;D;20180424;000000;1940;1953;1901.5;1906.5;111331;0
FIVE-гдр;D;20180425;000000;1909.5;1909.5;1780.5;1800;432634;0
FIVE-гдр;D;20180426;000000;1809;1809;1654;1740;770133;0
FIVE-гдр;D;20180427;000000;1741;1825;1741;1800;185365;0
FIVE-гдр;D;20180428;000000;1823.5;1823.5;1770;1803.5;21756;0
FIVE-гдр;D;20180430;000000;1800.5;1825;1781;1795.5;52230;0
FIVE-гдр;D;20180502;000000;1798;1840.5;1782.5;1815;74041;0
FIVE-гдр;D;20180503;000000;1815;1837;1790;1801;59101;0
FIVE-гдр;D;20180504;000000;1808.5;1835;1797.5;1835;59933;0
FIVE-гдр;D;20180507;000000;1836;1861;1834.5;1856.5;86924;0
FIVE-гдр;D;20180508;000000;1849;1900;1829;1845;196097;0
FIVE-гдр;D;20180510;000000;1853;1885;1780;1802;182542;0
FIVE-гдр;D;20180511;000000;1804;1822;1785.5;1799.5;239508;0
FIVE-гдр;D;20180514;000000;1820;1867.5;1800;1854;252156;0
FIVE-гдр;D;20180515;000000;1917;1953.5;1875;1911;1000504;0
FIVE-гдр;D;20180516;000000;1911;1934;1897;1917.5;550751;0
FIVE-гдр;D;20180517;000000;1924.5;1930;1896;1925;492665;0
FIVE-гдр;D;20180518;000000;1917;1925;1874;1880;537811;0
FIVE-гдр;D;20180521;000000;1880;1904.5;1860;1864.5;583111;0
FIVE-гдр;D;20180522;000000;1874.5;1874.5;1817.5;1844;420684;0
FIVE-гдр;D;20180523;000000;1849;1881;1837.5;1871.5;433312;0
FIVE-гдр;D;20180524;000000;1805.5;1814.5;1792;1813;539020;0
FIVE-гдр;D;20180525;000000;1819;1878.5;1800;1844.5;586334;0
FIVE-гдр;D;20180528;000000;1845;1925;1845;1915;659229;0
FIVE-гдр;D;20180529;000000;1915;1916.5;1783;1840;1271627;0
FIVE-гдр;D;20180530;000000;1848.5;1848.5;1760;1785;1360737;0
FIVE-гдр;D;20180531;000000;1797.5;1808;1725;1808;7111058;0
FIVE-гдр;D;20180601;000000;1789;1800;1748;1748;534262;0
FIVE-гдр;D;20180604;000000;1757;1783;1754.5;1771;304590;0
FIVE-гдр;D;20180605;000000;1757.5;1780;1751.5;1770;143111;0
FIVE-гдр;D;20180606;000000;1770;1790;1754.5;1758.5;836680;0
FIVE-гдр;D;20180607;000000;1764.5;1789;1743.5;1743.5;289422;0
FIVE-гдр;D;20180608;000000;1750;1750;1652;1675;393233;0
FIVE-гдр;D;20180609;000000;1690.5;1690.5;1671.5;1683.5;10036;0
FIVE-гдр;D;20180611;000000;1683;1727;1670.5;1675.5;120447;0
FIVE-гдр;D;20180613;000000;1684;1694;1650.5;1650.5;178547;0
FIVE-гдр;D;20180614;000000;1650.5;1675;1617;1645.5;128204;0
FIVE-гдр;D;20180615;000000;1646;1670;1627.5;1627.5;220646;0
FIVE-гдр;D;20180618;000000;1626.5;1664.5;1615;1645;193231;0
FIVE-гдр;D;20180619;000000;1634;1694;1633;1682;165698;0
FIVE-гдр;D;20180620;000000;1695.5;1746.5;1677;1730;179186;0
FIVE-гдр;D;20180621;000000;1746.5;1795;1730.5;1770;184271;0
FIVE-гдр;D;20180622;000000;1766;1780;1726.5;1729;155552;0
FIVE-гдр;D;20180625;000000;1710.5;1792.5;1710.5;1766.5;156785;0
FIVE-гдр;D;20180626;000000;1768;1790;1713.5;1743;101417;0
FIVE-гдр;D;20180627;000000;1759.5;1773.5;1687.5;1690;234185;0
FIVE-гдр;D;20180628;000000;1690.5;1720.5;1672;1673.5;119871;0
FIVE-гдр;D;20180629;000000;1685;1727;1660.5;1727;186346;0
FIVE-гдр;D;20180702;000000;1690;1700;1661;1687;101058;0
FIVE-гдр;D;20180703;000000;1688;1688;1617;1617.5;201129;0
FIVE-гдр;D;20180704;000000;1621;1681;1612.5;1645.5;155889;0
FIVE-гдр;D;20180705;000000;1645;1700;1641;1700;171196;0
FIVE-гдр;D;20180706;000000;1699;1700;1658;1685;105522;0
FIVE-гдр;D;20180709;000000;1693;1765;1654;1751.5;239847;0
FIVE-гдр;D;20180710;000000;1780;1780;1742.5;1780;118940;0
FIVE-гдр;D;20180711;000000;1769.5;1775.5;1710;1715.5;100963;0
FIVE-гдр;D;20180712;000000;1723;1744;1706.5;1721;61260;0
FIVE-гдр;D;20180713;000000;1720.5;1758;1711;1758;71336;0
FIVE-гдр;D;20180716;000000;1758;1765;1712;1760;84274;0
FIVE-гдр;D;20180717;000000;1741;1769;1710;1767;126505;0
FIVE-гдр;D;20180718;000000;1767.5;1884.5;1753;1840;398320;0
FIVE-гдр;D;20180719;000000;1840;1870;1735;1768;263560;0
FIVE-гдр;D;20180720;000000;1768;1768;1680;1691.5;127808;0
FIVE-гдр;D;20180723;000000;1680;1738;1680;1738;75772;0
FIVE-гдр;D;20180724;000000;1725;1763.5;1712;1734;71611;0
FIVE-гдр;D;20180725;000000;1724.5;1747.5;1707;1720;72257;0
FIVE-гдр;D;20180726;000000;1703;1761;1701;1758.5;106939;0
FIVE-гдр;D;20180727;000000;1748;1765;1706;1727.5;63737;0
FIVE-гдр;D;20180730;000000;1727;1728;1684;1728;78163;0
FIVE-гдр;D;20180731;000000;1703;1706.5;1670;1680;113468;0
FIVE-гдр;D;20180801;000000;1682;1731;1680;1731;89516;0
FIVE-гдр;D;20180802;000000;1721;1727;1700;1700;47920;0
