<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
СОЛЛЕРС;D;20150105;000000;367;367;350;354;3920;0
СОЛЛЕРС;D;20150106;000000;360;362;349;354;1930;0
СОЛЛЕРС;D;20150108;000000;360;363;356;357;4060;0
СОЛЛЕРС;D;20150109;000000;363;363;351;356;1870;0
СОЛЛЕРС;D;20150112;000000;358;358;341;345;10120;0
СОЛЛЕРС;D;20150113;000000;354;354;330;334;26960;0
СОЛЛЕРС;D;20150114;000000;338;340;325;333;22630;0
СОЛЛЕРС;D;20150115;000000;337;339;328;328;55870;0
СОЛЛЕРС;D;20150116;000000;326;332;319;322;38220;0
СОЛЛЕРС;D;20150119;000000;322;332;317;317;31890;0
СОЛЛЕРС;D;20150120;000000;321;323;313;316;21740;0
СОЛЛЕРС;D;20150121;000000;318;320;312;316;25120;0
СОЛЛЕРС;D;20150122;000000;322;323;311;320;63540;0
СОЛЛЕРС;D;20150123;000000;323;328;316;320;39510;0
СОЛЛЕРС;D;20150126;000000;320;322;313;314;33200;0
СОЛЛЕРС;D;20150127;000000;299;312;298;311;38460;0
СОЛЛЕРС;D;20150128;000000;312;325;305;310;28290;0
СОЛЛЕРС;D;20150129;000000;310;310;301;306;23510;0
СОЛЛЕРС;D;20150130;000000;310;310;300;300;20650;0
СОЛЛЕРС;D;20150202;000000;303;308;299;306;15070;0
СОЛЛЕРС;D;20150203;000000;308;318;307;309;23710;0
СОЛЛЕРС;D;20150204;000000;312;314;306;309;17280;0
СОЛЛЕРС;D;20150205;000000;309;312;306;307;29840;0
СОЛЛЕРС;D;20150206;000000;323;327;305;321;68920;0
СОЛЛЕРС;D;20150209;000000;324;355;324;354;94880;0
СОЛЛЕРС;D;20150210;000000;354;354;336;345;32490;0
СОЛЛЕРС;D;20150211;000000;346;354;345;350;15270;0
СОЛЛЕРС;D;20150212;000000;352;353;337;347;36230;0
СОЛЛЕРС;D;20150213;000000;353;353;342;347;27280;0
СОЛЛЕРС;D;20150216;000000;347;353;343;353;32990;0
СОЛЛЕРС;D;20150217;000000;354;388;352;370;71030;0
СОЛЛЕРС;D;20150218;000000;374;393;368;390;27190;0
СОЛЛЕРС;D;20150219;000000;395;400;357;365;57930;0
СОЛЛЕРС;D;20150220;000000;378;383;366;379;26520;0
СОЛЛЕРС;D;20150224;000000;370;376;364;370;17550;0
СОЛЛЕРС;D;20150225;000000;373;404;362;370;82540;0
СОЛЛЕРС;D;20150226;000000;372;386;367;374;55240;0
СОЛЛЕРС;D;20150227;000000;378;383;369;375;13640;0
СОЛЛЕРС;D;20150302;000000;375;383;370;376;16620;0
СОЛЛЕРС;D;20150303;000000;376;383;370;379;14220;0
СОЛЛЕРС;D;20150304;000000;379;381;372;373;7080;0
СОЛЛЕРС;D;20150305;000000;373;381;371;371;9400;0
СОЛЛЕРС;D;20150306;000000;372;376;361;368;12930;0
СОЛЛЕРС;D;20150310;000000;370;370;344;347;23940;0
СОЛЛЕРС;D;20150311;000000;347;355;345;348;12310;0
СОЛЛЕРС;D;20150312;000000;382;382;348;367;30680;0
СОЛЛЕРС;D;20150313;000000;370;372;355;368;96330;0
СОЛЛЕРС;D;20150316;000000;368;371;362;364;5060;0
СОЛЛЕРС;D;20150317;000000;350;379;350;376;19580;0
СОЛЛЕРС;D;20150318;000000;377;391;372;379;44600;0
СОЛЛЕРС;D;20150319;000000;380;385;370;370;18900;0
СОЛЛЕРС;D;20150320;000000;370;373;366;369;6150;0
СОЛЛЕРС;D;20150323;000000;370;371;362;363;4850;0
СОЛЛЕРС;D;20150324;000000;364;367;349;360;7880;0
СОЛЛЕРС;D;20150325;000000;358;367;357;362;4470;0
СОЛЛЕРС;D;20150326;000000;364;375;358;368;23140;0
СОЛЛЕРС;D;20150327;000000;370;370;361;367;5460;0
СОЛЛЕРС;D;20150330;000000;364;367;358;363;30160;0
СОЛЛЕРС;D;20150331;000000;361;367;358;362;7730;0
