Дата;Цена;Откр;Макс;Мин;Объём;Изм %
04012016;43.75;43.90;44.15;43.25;10.67K;0.46%
05012016;43.45;43.40;44.00;43.40;13.54K;-0.69%
06012016;43.65;43.45;44.00;42.95;55.82K;0.46%
11012016;43.00;42.70;43.50;42.70;115.11K;-1.49%
12012016;43.55;43.20;43.55;43.00;36.05K;1.28%
13012016;43.15;43.55;43.90;43.00;34.36K;-0.92%
14012016;43.40;43.15;43.50;42.50;703.29K;0.58%
15012016;42.20;43.95;43.95;42.00;87.59K;-2.76%
18012016;41.10;42.05;42.20;41.00;67.73K;-2.61%
19012016;41.90;41.60;42.15;41.30;61.96K;1.95%
20012016;40.95;41.50;41.75;40.00;47.38K;-2.27%
21012016;41.35;40.95;41.60;40.70;64.49K;0.98%
22012016;41.00;41.55;42.20;40.55;631.52K;-0.85%
25012016;41.00;41.00;43.50;40.95;150.64K;0.00%
26012016;40.40;40.95;41.50;39.85;424.31K;-1.46%
27012016;40.50;40.45;40.80;39.20;150.56K;0.25%
28012016;41.10;40.85;42.00;40.60;100.81K;1.48%
29012016;42.50;41.50;42.50;41.00;113.95K;3.41%
01022016;42.60;42.50;42.95;41.35;132.33K;0.24%
02022016;42.85;42.35;43.10;42.25;78.83K;0.59%
03022016;42.65;42.40;43.05;42.10;101.50K;-0.47%
04022016;42.60;42.85;42.90;42.50;41.78K;-0.12%
05022016;42.70;42.80;43.10;42.15;51.78K;0.23%
08022016;42.65;43.05;43.10;42.40;84.63K;-0.12%
09022016;42.70;42.70;43.05;42.30;239.55K;0.12%
10022016;42.75;42.45;42.80;42.30;42.36K;0.12%
11022016;42.90;42.75;43.05;42.50;258.22K;0.35%
12022016;42.70;42.45;43.10;42.45;211.39K;-0.47%
15022016;42.80;42.70;42.85;42.60;205.79K;0.23%
16022016;42.90;42.90;43.30;42.70;538.36K;0.23%
17022016;42.90;42.90;43.15;42.60;428.01K;0.00%
18022016;43.20;43.15;43.45;42.60;416.36K;0.70%
19022016;43.00;43.70;43.70;42.90;157.54K;-0.46%
20022016;43.15;43.70;43.70;42.60;290.75K;0.35%
22022016;43.15;42.70;43.35;42.70;54.42K;0.00%
24022016;42.80;42.65;43.10;42.40;60.68K;-0.81%
25022016;42.80;42.80;43.45;42.60;550.09K;0.00%
26022016;42.50;42.80;43.25;42.40;1.05M;-0.70%
29022016;42.35;42.35;42.85;42.00;267.93K;-0.35%
01032016;42.10;42.50;42.50;41.20;108.21K;-0.59%
02032016;41.95;42.05;42.70;41.80;60.53K;-0.36%
03032016;42.25;42.05;42.35;41.85;24.31K;0.72%
04032016;42.20;42.25;42.30;41.90;50.53K;-0.12%
07032016;42.35;42.35;42.70;42.00;60.03K;0.36%
09032016;42.25;42.60;42.60;42.00;143.25K;-0.24%
10032016;42.20;42.30;42.45;41.70;62.08K;-0.12%
11032016;42.35;42.25;42.40;42.00;100.01K;0.36%
14032016;42.35;42.65;42.90;42.10;168.35K;0.00%
15032016;42.65;42.75;43.35;42.10;286.68K;0.71%
16032016;43.55;42.75;44.15;42.15;101.02K;2.11%
17032016;44.30;43.90;46.65;43.60;343.50K;1.72%
18032016;44.25;44.35;44.80;43.85;128.73K;-0.11%
21032016;44.15;44.30;44.30;43.00;104.58K;-0.23%
22032016;42.70;44.40;44.75;42.70;244.04K;-3.28%
23032016;44.00;43.70;46.10;42.75;1.28M;3.04%
24032016;44.45;44.25;45.75;44.00;380.13K;1.02%
25032016;44.05;44.90;44.90;44.05;67.48K;-0.90%
28032016;45.00;44.70;45.30;44.30;88.19K;2.16%
29032016;44.50;45.00;45.40;44.30;456.99K;-1.11%
30032016;45.00;44.95;45.75;44.40;486.24K;1.12%
31032016;46.50;45.00;46.85;43.95;535.08K;3.33%
01042016;46.90;46.35;47.00;45.50;67.21K;0.86%
04042016;47.35;45.55;47.35;45.55;91.79K;0.96%
05042016;49.20;47.45;49.20;47.35;296.76K;3.91%
06042016;51.15;49.80;51.90;49.50;205.48K;3.96%
07042016;53.90;52.00;54.75;51.25;640.03K;5.38%
08042016;53.00;54.85;54.85;52.50;84.17K;-1.67%
11042016;54.15;54.75;54.75;53.25;70.60K;2.17%
12042016;54.65;53.50;55.00;53.50;81.53K;0.92%
13042016;54.25;54.80;54.80;53.50;44.18K;-0.73%
14042016;55.20;54.05;55.55;53.20;308.17K;1.75%
15042016;55.00;55.35;57.95;54.30;143.12K;-0.36%
18042016;54.00;54.40;56.45;52.55;140.21K;-1.82%
19042016;54.40;54.95;55.00;53.10;170.06K;0.74%
20042016;54.35;54.90;55.05;53.80;65.16K;-0.09%
21042016;53.50;54.95;54.95;53.45;75.44K;-1.56%
22042016;52.65;53.50;54.60;51.20;128.57K;-1.59%
25042016;52.00;53.50;53.70;51.10;109.29K;-1.23%
26042016;52.35;52.30;53.40;51.20;428.52K;0.67%
27042016;52.90;53.00;53.40;52.45;118.54K;1.05%
28042016;52.75;53.35;53.35;52.40;104.34K;-0.28%
29042016;52.40;53.00;53.15;52.05;181.52K;-0.66%
04052016;51.35;53.00;53.00;51.25;23.66K;-2.00%
05052016;52.80;51.25;53.50;51.00;56.95K;2.82%
06052016;52.20;52.20;53.05;52.00;27.70K;-1.14%
10052016;52.30;51.75;53.90;51.20;102.52K;0.19%
11052016;52.65;52.00;52.85;52.00;202.87K;0.67%
