Дата;Цена;Откр;Макс;Мин;Объём;Изм %
04012016;3.930;3.780;3.950;3.780;5.92M;3.42%
05012016;3.865;3.865;3.895;3.865;115.10K;-1.65%
06012016;3.885;3.885;3.885;3.870;1.48M;0.52%
11012016;3.875;3.785;3.900;3.785;1.88M;-0.26%
12012016;3.820;3.850;3.860;3.820;1.01M;-1.42%
13012016;3.770;3.820;3.820;3.750;6.45M;-1.31%
14012016;3.750;3.765;3.770;3.750;890.40K;-0.53%
15012016;3.740;3.770;3.770;3.740;1.28M;-0.27%
18012016;3.740;3.730;3.750;3.725;574.60K;0.00%
19012016;3.730;3.755;3.765;3.730;446.30K;-0.27%
20012016;3.735;3.725;3.755;3.725;405.70K;0.13%
21012016;3.740;3.745;3.760;3.740;512.70K;0.13%
22012016;3.740;3.750;3.765;3.740;250.50K;0.00%
25012016;3.750;3.750;3.760;3.750;603.20K;0.27%
26012016;3.745;3.765;3.765;3.740;533.10K;-0.13%
27012016;3.740;3.740;3.750;3.720;13.28M;-0.13%
28012016;3.745;3.745;3.755;3.745;706.50K;0.13%
29012016;3.760;3.745;3.760;3.745;431.10K;0.40%
01022016;3.770;3.755;3.775;3.755;420.60K;0.27%
02022016;3.765;3.770;3.770;3.760;411.40K;-0.13%
03022016;3.770;3.760;3.775;3.760;467.40K;0.13%
04022016;3.765;3.760;3.780;3.755;338.10K;-0.13%
05022016;3.760;3.760;3.770;3.755;418.10K;-0.13%
08022016;3.755;3.770;3.775;3.750;337.40K;-0.13%
09022016;3.740;3.765;3.765;3.740;493.90K;-0.40%
10022016;3.740;3.755;3.755;3.735;354.70K;0.00%
11022016;3.765;3.760;3.765;3.735;2.67M;0.67%
12022016;3.775;3.735;3.775;3.730;3.55M;0.27%
15022016;3.780;3.755;3.780;3.745;4.02M;0.13%
16022016;3.775;3.755;3.775;3.730;3.08M;-0.13%
17022016;3.780;3.780;3.780;3.760;3.82M;0.13%
18022016;3.800;3.795;3.800;3.750;4.92M;0.53%
19022016;3.805;3.800;3.805;3.765;2.66M;0.13%
20022016;3.765;3.795;3.800;3.765;4.50K;-1.05%
22022016;3.805;3.800;3.805;3.800;0.20K;1.06%
24022016;3.750;3.800;3.800;3.745;1.32M;-1.45%
25022016;3.780;3.750;3.780;3.725;2.22M;0.80%
26022016;3.785;3.785;3.790;3.740;2.27M;0.13%
29022016;3.620;3.800;3.800;3.500;27.00M;-4.36%
01032016;3.745;3.660;3.745;3.640;12.54M;3.45%
02032016;3.780;3.750;3.780;3.715;547.70K;0.93%
03032016;3.785;3.780;3.795;3.775;1.32M;0.13%
04032016;3.805;3.780;3.825;3.775;1.61M;0.53%
07032016;3.800;3.815;3.815;3.780;15.70K;-0.13%
09032016;3.840;3.805;3.840;3.805;1.42M;1.05%
10032016;3.825;3.845;3.850;3.825;1.58M;-0.39%
11032016;3.850;3.855;3.855;3.800;1.15M;0.65%
14032016;3.860;3.810;3.860;3.800;1.26M;0.26%
15032016;3.870;3.860;3.870;3.855;1.87M;0.26%
16032016;3.850;3.840;3.865;3.840;964.90K;-0.52%
17032016;3.870;3.870;3.875;3.845;1.76M;0.52%
18032016;3.865;3.875;3.875;3.860;1.70M;-0.13%
21032016;3.870;3.860;3.870;3.835;1.42M;0.13%
22032016;3.795;3.870;3.870;3.795;3.32M;-1.94%
23032016;3.825;3.820;3.850;3.795;5.09M;0.79%
24032016;3.810;3.825;3.855;3.800;5.50M;-0.39%
25032016;3.820;3.845;3.850;3.780;7.46M;0.26%
28032016;3.805;3.860;3.860;3.780;12.39M;-0.39%
29032016;3.855;3.825;3.855;3.785;9.19M;1.31%
30032016;3.870;3.855;3.870;3.815;13.25M;0.39%
31032016;3.880;3.795;3.880;3.705;3.37M;0.26%
01042016;3.865;3.880;3.890;3.860;3.63M;-0.39%
04042016;3.865;3.880;3.880;3.835;1.87M;0.00%
05042016;3.820;3.865;3.865;3.770;8.59M;-1.16%
06042016;3.840;3.835;3.865;3.810;4.10M;0.52%
07042016;3.905;3.845;3.905;3.845;5.99M;1.69%
08042016;3.875;3.880;3.905;3.875;1.55M;-0.77%
11042016;3.870;3.895;3.905;3.870;1.50M;-0.13%
12042016;3.870;3.875;3.920;3.870;570.70K;0.00%
13042016;3.870;3.870;3.890;3.855;1.24M;0.00%
14042016;3.875;3.880;3.880;3.860;2.05M;0.13%
15042016;3.925;3.885;3.925;3.885;933.70K;1.29%
18042016;3.900;3.925;3.950;3.855;789.20K;-0.64%
19042016;3.915;3.900;3.945;3.900;47.16M;0.38%
20042016;3.905;3.925;3.935;3.885;975.90K;-0.26%
21042016;3.910;3.905;3.935;3.875;995.50K;0.13%
22042016;3.910;3.910;3.920;3.885;1.12M;0.00%
25042016;3.920;3.925;3.935;3.900;1.13M;0.26%
26042016;3.915;3.890;3.940;3.880;2.47M;-0.13%
27042016;3.930;3.910;3.930;3.900;1.00M;0.38%
28042016;3.905;3.925;3.945;3.895;2.56M;-0.64%
29042016;3.920;3.915;3.935;3.900;926.40K;0.38%
04052016;3.925;3.915;3.945;3.905;975.80K;0.13%
05052016;3.915;3.935;3.935;3.905;477.30K;-0.25%
06052016;3.930;3.925;3.945;3.910;1.08M;0.38%
10052016;3.915;3.945;3.955;3.905;1.17M;-0.38%
11052016;3.930;3.900;3.935;3.900;936.60K;0.38%
12052016;3.965;3.925;3.965;3.915;1.09M;0.89%
13052016;3.980;3.980;3.980;3.935;1.05M;0.38%
16052016;3.995;4.100;4.100;3.955;1.97M;0.38%
17052016;3.980;4.000;4.035;3.980;965.50K;-0.38%
18052016;3.965;3.990;3.990;3.960;791.20K;-0.38%
19052016;3.970;3.980;3.980;3.950;1.14M;0.13%
20052016;3.995;3.990;4.030;3.975;3.69M;0.63%
23052016;3.985;3.995;4.015;3.970;2.44M;-0.25%
24052016;3.990;3.995;3.995;3.945;2.68M;0.13%
25052016;4.000;3.995;4.010;3.990;802.60K;0.25%
26052016;4.000;4.000;4.035;3.990;1.63M;0.00%
27052016;3.940;4.005;4.055;3.825;2.44M;-1.50%
30052016;3.905;3.955;3.955;3.890;1.77M;-0.89%
31052016;3.910;3.900;3.955;3.855;2.82M;0.13%
01062016;3.905;3.885;3.905;3.835;2.08M;-0.13%
02062016;3.945;3.955;3.995;3.945;2.13M;1.02%
03062016;3.975;3.990;3.990;3.940;1.31M;0.76%
06062016;3.995;3.995;4.000;3.965;1.50M;0.50%
07062016;4.045;3.990;4.045;3.985;1.27M;1.25%
08062016;4.035;4.040;4.065;4.025;1.32M;-0.25%
09062016;4.010;4.045;4.045;3.995;16.80M;-0.62%
10062016;3.980;4.010;4.010;3.960;1.47M;-0.75%
14062016;3.955;3.990;4.010;3.945;855.30K;-0.63%
15062016;3.955;3.945;3.975;3.940;871.20K;0.00%
16062016;3.945;3.980;3.990;3.935;866.30K;-0.25%
17062016;3.950;3.975;3.980;3.940;143.59M;0.13%
20062016;3.970;3.970;4.000;3.960;1.33M;0.51%
21062016;3.955;4.015;4.400;3.950;613.10K;-0.38%
22062016;3.955;3.965;3.975;3.950;906.10K;0.00%
23062016;3.965;3.960;3.975;3.945;92.44M;0.25%
24062016;3.920;3.935;3.955;3.900;618.20K;-1.13%
27062016;3.950;3.915;3.960;3.915;673.20K;0.77%
28062016;3.955;3.960;3.960;3.935;513.30K;0.13%
29062016;3.985;3.940;3.990;3.940;632.90K;0.76%
30062016;3.980;4.005;4.005;3.975;28.16M;-0.13%
01072016;3.995;3.990;4.005;3.990;12.61M;0.38%
04072016;4.005;3.995;4.005;3.990;632.30K;0.25%
