Дата;Цена;Откр;Макс;Мин;Объём;Изм %
04012016;91.85;91.32;91.85;90.12;3.23M;0.49%
05012016;94.30;91.83;94.47;91.81;4.92M;2.67%
06012016;94.44;94.34;94.87;93.88;2.46M;0.15%
11012016;94.50;92.25;95.84;91.00;6.25M;0.06%
12012016;93.75;94.40;97.00;93.13;4.79M;-0.79%
13012016;91.60;93.89;94.70;91.50;6.29M;-2.29%
14012016;91.65;91.87;92.82;90.26;9.27M;0.05%
15012016;86.59;91.65;91.97;86.59;11.27M;-5.52%
18012016;90.15;85.90;90.73;85.20;10.14M;4.11%
19012016;90.45;92.11;92.30;88.75;6.62M;0.33%
20012016;90.21;89.58;92.07;88.00;10.94M;-0.27%
21012016;90.00;90.67;91.86;89.05;11.98M;-0.23%
22012016;90.28;91.12;91.45;88.50;11.76M;0.31%
25012016;90.00;90.77;90.85;89.51;4.02M;-0.31%
26012016;90.00;89.90;90.50;89.32;5.47M;0.00%
27012016;93.65;90.27;93.90;89.63;7.70M;4.06%
28012016;92.70;93.40;95.15;91.27;8.98M;-1.01%
29012016;95.99;93.00;96.00;92.53;10.70M;3.55%
01022016;96.50;95.25;96.67;94.12;6.23M;0.53%
02022016;96.20;96.15;96.68;94.93;5.46M;-0.31%
03022016;99.60;95.80;100.70;95.21;7.43M;3.53%
04022016;92.30;95.00;95.99;92.20;49.64M;-7.33%
05022016;93.03;93.19;95.00;92.52;13.10M;0.79%
08022016;91.14;93.39;94.00;90.60;8.20M;-2.03%
09022016;91.09;91.25;91.95;90.12;7.26M;-0.05%
10022016;90.95;90.80;91.50;90.08;7.57M;-0.15%
11022016;89.00;91.00;91.16;87.79;11.40M;-2.14%
12022016;89.58;89.81;90.29;88.20;13.07M;0.65%
15022016;90.40;90.30;90.76;88.75;10.59M;0.92%
16022016;91.00;90.75;91.77;90.44;8.38M;0.66%
17022016;91.00;91.05;91.60;90.09;6.05M;0.00%
18022016;92.47;91.30;92.89;91.25;8.05M;1.62%
19022016;89.95;92.11;92.11;89.01;6.00M;-2.73%
20022016;90.48;90.20;90.73;90.02;1.39M;0.59%
22022016;92.09;90.60;92.32;90.57;5.30M;1.78%
24022016;93.20;91.40;93.30;91.03;10.65M;1.21%
25022016;95.09;93.26;95.10;93.25;10.64M;2.03%
26022016;96.81;95.16;97.43;94.90;18.61M;1.81%
29022016;99.00;96.08;99.00;95.71;8.98M;2.26%
01032016;97.80;99.00;99.32;97.17;7.20M;-1.21%
02032016;97.60;98.25;98.70;97.60;5.43M;-0.20%
03032016;97.70;98.50;99.25;96.65;8.82M;0.10%
04032016;99.00;98.60;99.43;97.30;12.21M;1.33%
07032016;100.50;99.41;100.90;98.30;10.64M;1.52%
09032016;99.90;100.00;100.78;98.95;5.94M;-0.60%
10032016;101.92;99.76;102.50;99.76;8.89M;2.02%
11032016;101.40;102.38;103.85;101.16;7.68M;-0.51%
14032016;103.85;101.02;104.48;100.60;11.64M;2.42%
15032016;103.70;103.95;105.30;102.70;18.70M;-0.14%
16032016;105.70;102.85;106.06;102.85;14.87M;1.93%
17032016;105.78;106.11;108.10;105.21;12.60M;0.08%
18032016;105.20;106.03;108.77;105.20;27.16M;-0.55%
21032016;104.25;105.88;106.30;104.25;11.26M;-0.90%
22032016;103.49;104.44;105.94;102.66;9.40M;-0.73%
23032016;104.49;103.00;104.91;102.77;9.35M;0.97%
24032016;104.60;104.20;105.30;103.77;7.44M;0.11%
25032016;104.88;105.10;105.74;104.20;2.49M;0.27%
28032016;103.18;104.88;105.98;102.65;5.02M;-1.62%
29032016;100.91;103.00;103.20;99.20;11.99M;-2.20%
30032016;101.81;101.35;102.26;99.90;11.99M;0.89%
31032016;105.05;101.81;105.05;101.02;13.66M;3.18%
01042016;105.05;104.70;105.05;103.11;9.26M;0.00%
04042016;103.52;105.00;105.49;103.35;5.32M;-1.46%
05042016;102.40;103.06;103.09;101.34;5.77M;-1.08%
06042016;102.67;103.00;103.37;102.05;5.90M;0.26%
07042016;103.00;103.19;103.36;101.50;5.05M;0.32%
08042016;104.20;103.20;104.99;102.50;5.99M;1.17%
11042016;104.55;104.48;105.38;103.96;5.35M;0.34%
12042016;104.90;104.21;105.49;103.55;6.14M;0.33%
13042016;104.90;104.90;106.00;104.41;8.66M;0.00%
14042016;103.47;104.31;104.75;102.16;7.80M;-1.36%
