Дата;Цена;Откр;Макс;Мин;Объём;Изм %
04012016;6253.31;6347.27;6347.27;6223.36;-;-1.54%
05012016;6301.86;6252.98;6314.48;6227.05;-;0.78%
06012016;6269.00;6299.47;6312.40;6244.63;-;-0.52%
11012016;6076.66;6233.95;6152.93;6043.28;-;-3.07%
12012016;6104.13;6055.07;6165.31;5980.15;-;0.45%
13012016;6036.04;6118.09;6160.19;6036.04;-;-1.12%
14012016;6114.95;6028.70;6131.31;6003.45;-;1.31%
15012016;5824.62;6117.58;6117.58;5803.11;-;-4.75%
18012016;5832.38;5810.94;5860.05;5688.48;-;0.13%
19012016;5859.31;5845.53;5972.95;5793.88;-;0.46%
20012016;5739.57;5834.20;5834.20;5692.02;-;-2.04%
21012016;5787.26;5745.35;5810.73;5733.21;-;0.83%
22012016;5975.02;5829.16;5975.02;5790.31;-;3.24%
25012016;5910.60;5976.72;6008.61;5894.71;-;-1.08%
26012016;5897.89;5895.26;5917.59;5826.62;-;-0.22%
27012016;6054.25;5904.66;6074.17;5897.83;-;2.65%
28012016;6112.09;6054.67;6141.34;6038.41;-;0.96%
29012016;6182.33;6117.03;6212.95;6101.06;-;1.15%
01022016;6214.27;6215.11;6255.26;6153.62;-;0.52%
02022016;6117.55;6202.56;6226.85;6073.89;-;-1.56%
03022016;6135.89;6116.81;6220.96;6069.49;-;0.30%
04022016;6136.88;6060.18;6172.19;6060.18;-;0.02%
05022016;6109.24;6128.98;6170.34;6099.08;-;-0.45%
08022016;5991.95;6107.13;6139.03;5969.63;-;-1.92%
09022016;5964.69;5989.98;6051.01;5932.14;-;-0.45%
10022016;6028.02;5959.18;6045.90;5926.33;-;1.06%
11022016;5918.38;6018.99;6008.13;5856.99;-;-1.82%
12022016;5978.62;5931.64;5994.38;5923.30;-;1.02%
15022016;6013.34;5994.98;6041.78;5990.10;-;0.58%
16022016;6046.48;6023.21;6088.18;6016.91;-;0.55%
17022016;6112.55;6046.48;6131.58;6009.39;-;1.09%
18022016;6251.30;6116.66;6251.30;6138.28;-;2.27%
19022016;6169.30;6241.14;6241.14;6143.20;-;-1.31%
20022016;6178.47;6171.27;6205.37;6166.23;-;0.15%
22022016;6246.80;6181.15;6272.45;6191.09;-;1.11%
24022016;6204.88;6181.00;6236.28;6156.13;-;-0.67%
25022016;6253.19;6224.70;6284.05;6183.15;-;0.78%
26022016;6320.83;6290.56;6359.35;6288.24;-;1.08%
29022016;6384.83;6281.37;6384.83;6272.28;-;1.01%
01032016;6375.52;6403.60;6447.89;6354.04;-;-0.15%
02032016;6366.87;6418.58;6425.22;6365.07;-;-0.14%
03032016;6418.18;6406.08;6435.98;6356.99;-;0.81%
04032016;6503.34;6435.50;6503.34;6398.09;-;1.33%
07032016;6612.92;6532.79;6612.92;6506.64;-;1.68%
09032016;6550.16;6589.13;6596.49;6523.08;-;-0.95%
10032016;6623.26;6570.67;6644.17;6529.62;-;1.12%
11032016;6623.90;6637.11;6688.06;6602.50;-;0.01%
14032016;6607.23;6622.52;6656.56;6556.34;-;-0.25%
15032016;6549.98;6633.14;6659.50;6523.89;-;-0.87%
16032016;6605.21;6572.76;6607.95;6549.73;-;0.84%
17032016;6663.61;6649.34;6737.44;6635.56;-;0.88%
18032016;6693.38;6665.12;6774.43;6647.27;-;0.45%
21032016;6601.41;6671.08;6673.64;6582.83;-;-1.37%
22032016;6547.08;6609.50;6669.46;6524.20;-;-0.82%
23032016;6522.05;6518.54;6593.64;6480.48;-;-0.38%
24032016;6513.78;6498.00;6528.94;6486.57;-;-0.13%
25032016;6543.56;6550.61;6573.97;6533.68;-;0.46%
28032016;6466.18;6573.31;6595.13;6444.53;-;-1.18%
29032016;6428.91;6459.55;6467.16;6358.34;-;-0.58%
30032016;6529.35;6480.56;6529.84;6454.33;-;1.56%
31032016;6624.82;6494.68;6627.25;6475.09;-;1.46%
01042016;6555.12;6583.46;6601.65;6480.69;-;-1.05%
04042016;6542.82;6555.05;6594.22;6517.86;-;-0.19%
05042016;6458.21;6498.94;6498.94;6433.93;-;-1.29%
06042016;6492.03;6500.18;6515.64;6447.33;-;0.52%
07042016;6504.49;6544.15;6546.02;6453.80;-;0.19%
08042016;6603.66;6508.87;6624.77;6502.77;-;1.52%
11042016;6789.19;6595.69;6789.19;6592.05;-;2.81%
12042016;6805.89;6788.05;6852.26;6765.79;-;0.25%
13042016;6891.90;6833.60;6915.80;6813.50;-;1.26%
14042016;6821.47;6866.85;6874.28;6741.59;-;-1.02%
15042016;6840.90;6796.71;6859.80;6781.23;-;0.28%
18042016;6824.77;6736.11;6824.77;6717.62;-;-0.24%
19042016;6940.55;6846.88;6970.09;6841.63;-;1.70%
20042016;6985.88;6909.99;7003.30;6880.08;-;0.65%
21042016;6880.09;7041.60;7068.22;6846.55;-;-1.51%
22042016;6928.69;6890.05;6931.29;6840.63;-;0.71%
25042016;6894.26;6911.64;6942.75;6854.26;-;-0.50%
26042016;6783.25;6864.46;6873.11;6734.42;-;-1.61%
27042016;6810.98;6808.10;6869.67;6781.29;-;0.41%
28042016;6914.53;6827.92;6914.53;6769.31;-;1.52%
29042016;6811.57;6879.02;6907.28;6784.64;-;-1.49%
04052016;6798.11;6697.22;6798.11;6688.71;-;-0.20%
05052016;6824.28;6783.46;6843.35;6760.75;-;0.38%
