Дата;Цена;Откр;Макс;Мин;Объём;Изм %
04012016;1280.00;1305.00;1345.00;1280.00;0.48K;-3.03%
05012016;1300.00;1305.00;1305.00;1290.00;0.23K;1.56%
06012016;1295.00;1315.00;1320.00;1295.00;0.27K;-0.38%
11012016;1250.00;1250.00;1320.00;1220.00;0.81K;-3.47%
12012016;1245.00;1250.00;1250.00;1225.00;0.70K;-0.40%
13012016;1260.00;1245.00;1260.00;1230.00;1.24K;1.20%
14012016;1265.00;1260.00;1275.00;1230.00;0.50K;0.40%
15012016;1190.00;1280.00;1305.00;1175.00;4.52K;-5.93%
18012016;1205.00;1200.00;1210.00;1145.00;1.39K;1.26%
19012016;1235.00;1220.00;1260.00;1215.00;1.72K;2.49%
20012016;1130.00;1200.00;1200.00;1130.00;4.11K;-8.50%
21012016;1150.00;1145.00;1175.00;1145.00;0.92K;1.77%
22012016;1150.00;1155.00;1160.00;1115.00;4.64K;0.00%
25012016;1105.00;1150.00;1175.00;1095.00;4.31K;-3.91%
26012016;1045.00;1110.00;1120.00;1040.00;7.13K;-5.43%
27012016;1055.00;1065.00;1095.00;1045.00;4.59K;0.96%
28012016;1025.00;1065.00;1075.00;1010.00;6.50K;-2.84%
29012016;1020.00;1025.00;1050.00;1000.00;5.58K;-0.49%
01022016;1025.00;1025.00;1075.00;990.00;5.74K;0.49%
02022016;1000.00;1025.00;1045.00;995.00;6.45K;-2.44%
03022016;1015.00;1015.00;1035.00;965.00;18.18K;1.50%
04022016;1110.00;1055.00;1110.00;1050.00;12.07K;9.36%
05022016;1055.00;1075.00;1100.00;1050.00;6.05K;-4.95%
08022016;1020.00;1060.00;1090.00;1000.00;7.01K;-3.32%
09022016;1020.00;1020.00;1030.00;1010.00;2.27K;0.00%
10022016;1015.00;1010.00;1030.00;995.00;8.13K;-0.49%
11022016;1005.00;1005.00;1005.00;990.00;1.76K;-0.99%
12022016;995.00;1005.00;1025.00;985.00;10.37K;-1.00%
15022016;985.00;985.00;990.00;975.00;3.45K;-1.01%
16022016;985.00;985.00;990.00;970.00;1.37K;0.00%
17022016;980.00;1000.00;1010.00;975.00;3.76K;-0.51%
18022016;965.00;985.00;1000.00;945.00;8.11K;-1.53%
