Дата;Цена;Откр;Макс;Мин;Объём;Изм %
22102021;115.00;118.49;118.80;111.90;2.98M;-2.54%
25102021;116.00;114.99;118.03;112.04;1.78M;0.87%
27102021;112.96;114.88;114.88;108.80;1.21M;-2.62%
28102021;110.00;110.60;112.70;109.15;842.13K;-2.62%
29102021;112.00;110.80;117.00;109.00;812.27K;1.82%
01112021;114.00;114.99;116.42;110.00;418.83K;1.79%
02112021;112.50;113.98;117.48;112.05;861.54K;-1.32%
03112021;113.00;112.90;115.00;111.50;349.54K;0.44%
05112021;115.00;113.68;116.88;111.60;882.12K;1.77%
08112021;113.15;118.78;118.78;113.10;631.83K;-1.61%
09112021;112.00;113.04;115.00;111.80;869.72K;-1.02%
10112021;113.00;112.97;113.44;109.01;1.20M;0.89%
11112021;115.00;113.00;115.00;111.54;529.34K;1.77%
12112021;115.00;114.61;115.99;110.55;912.87K;0.00%
15112021;116.00;115.00;116.00;112.33;963.95K;0.87%
16112021;116.00;116.00;116.65;113.65;876.91K;0.00%
17112021;116.00;114.02;116.00;113.43;1.26M;0.00%
18112021;114.17;116.20;116.20;113.80;680.60K;-1.58%
19112021;119.00;114.42;119.00;113.40;4.46M;4.23%
22112021;113.51;119.40;120.64;112.07;545.56K;-4.61%
23112021;114.32;113.60;114.74;111.69;606.55K;0.71%
24112021;111.50;114.32;116.82;111.50;217.34K;-2.47%
25112021;113.35;113.22;114.43;111.50;341.14K;1.66%
26112021;106.20;112.75;115.76;101.70;1.17M;-6.31%
29112021;109.96;107.01;111.99;106.02;571.08K;3.54%
30112021;112.12;109.85;115.00;106.01;1.33M;1.96%
01122021;113.00;114.34;116.55;112.03;555.59K;0.78%
02122021;112.02;114.56;115.40;112.02;222.66K;-0.87%
03122021;113.11;112.52;118.94;112.52;336.70K;0.97%
06122021;112.01;114.20;115.55;111.12;181.56K;-0.97%
07122021;114.20;112.48;114.88;111.00;190.01K;1.96%
08122021;110.50;113.80;113.97;110.50;100.58K;-3.24%
09122021;111.30;111.11;112.40;110.04;196.15K;0.72%
10122021;112.00;112.00;112.00;110.11;141.92K;0.63%
13122021;107.01;111.96;111.96;106.21;144.02K;-4.46%
14122021;109.59;104.86;110.40;102.00;549.39K;2.41%
15122021;106.10;109.60;111.00;106.00;195.93K;-3.18%
16122021;105.80;108.30;108.30;105.31;307.98K;-0.28%
17122021;103.86;104.66;108.04;103.80;352.96K;-1.83%
20122021;101.97;102.60;106.75;100.04;274.94K;-1.82%
21122021;101.47;102.78;103.44;98.62;343.06K;-0.49%
22122021;101.90;100.98;106.07;98.80;390.35K;0.42%
23122021;98.03;101.45;102.91;95.80;225.55K;-3.80%
24122021;98.00;99.91;99.91;96.90;468.21K;-0.03%
27122021;98.26;97.99;100.00;96.22;439.79K;0.27%
28122021;96.25;96.95;98.49;96.25;439.66K;-2.05%
29122021;96.92;95.39;98.20;95.05;176.67K;0.70%
30122021;101.00;96.65;101.01;96.15;504.03K;4.21%
