Дата;Цена;Откр;Макс;Мин;Объём;Изм %
04012016;98.01;101.00;101.78;97.94;51.26M;-3.21%
05012016;98.89;97.88;99.24;97.16;49.07M;0.90%
06012016;96.85;98.70;99.56;96.83;40.71M;-2.06%
11012016;91.03;93.61;94.89;91.01;86.12M;-6.01%
12012016;91.71;89.09;92.88;88.52;110.11M;0.75%
13012016;91.50;92.75;93.88;91.25;74.17M;-0.23%
14012016;93.04;91.00;93.15;90.37;81.18M;1.68%
15012016;87.27;92.44;92.95;86.85;133.79M;-6.20%
18012016;86.15;86.01;88.28;85.10;100.57M;-1.28%
19012016;86.68;87.39;89.70;85.76;114.04M;0.62%
20012016;83.83;84.89;85.19;82.20;134.62M;-3.29%
21012016;86.00;84.25;87.15;83.27;143.86M;2.59%
22012016;91.50;88.97;92.28;87.62;207.69M;6.40%
25012016;91.00;92.55;93.35;90.00;131.78M;-0.55%
26012016;91.50;89.06;91.76;88.74;105.38M;0.55%
27012016;95.75;91.98;96.26;91.47;150.82M;4.64%
28012016;96.69;95.77;97.28;94.33;179.56M;0.98%
29012016;96.50;97.47;98.70;95.12;165.40M;-0.20%
01022016;96.50;96.27;97.49;95.29;89.62M;0.00%
02022016;94.40;95.70;97.07;93.75;129.00M;-2.18%
03022016;94.53;93.91;96.89;93.71;112.70M;0.14%
04022016;97.57;98.56;98.56;96.71;122.05M;3.22%
05022016;97.20;97.01;97.98;96.35;81.43M;-0.38%
08022016;94.70;97.05;97.86;93.85;106.21M;-2.57%
09022016;93.89;94.00;95.63;92.70;121.34M;-0.86%
10022016;96.35;93.50;96.77;93.16;111.48M;2.62%
11022016;94.20;95.71;96.10;93.05;115.37M;-2.23%
12022016;94.85;95.14;95.67;94.18;79.44M;0.69%
15022016;95.25;96.00;96.37;94.93;68.61M;0.42%
16022016;96.51;95.99;97.28;95.70;114.94M;1.32%
17022016;99.20;96.51;99.38;96.05;114.84M;2.79%
18022016;102.70;99.90;102.80;99.75;125.65M;3.53%
19022016;101.50;101.99;103.57;101.00;171.60M;-1.17%
20022016;102.39;101.61;102.60;101.50;18.17M;0.88%
22022016;103.20;102.57;104.39;102.39;66.19M;0.79%
24022016;102.10;102.00;102.70;100.79;89.14M;-1.07%
25022016;104.05;102.65;104.35;101.51;110.33M;1.91%
26022016;106.24;105.00;107.15;104.83;144.09M;2.10%
29022016;107.00;105.50;107.38;104.81;91.80M;0.72%
01032016;108.26;107.50;108.79;106.42;114.86M;1.18%
02032016;106.12;109.00;109.20;106.10;97.92M;-1.98%
03032016;106.99;106.70;107.63;105.40;80.19M;0.82%
04032016;108.99;107.70;109.02;106.70;84.29M;1.87%
07032016;109.47;109.62;110.20;108.57;75.02M;0.44%
09032016;108.15;108.99;109.07;107.50;72.42M;-1.21%
10032016;108.84;108.26;109.90;107.67;94.99M;0.64%
11032016;109.26;109.20;109.95;108.55;61.33M;0.39%
14032016;109.26;109.28;109.56;108.40;66.48M;0.00%
15032016;106.46;109.60;110.29;106.09;127.04M;-2.56%
16032016;107.00;107.20;107.27;106.12;75.84M;0.51%
17032016;109.47;107.80;109.49;107.70;93.00M;2.31%
18032016;112.40;109.59;112.50;108.91;134.63M;2.68%
21032016;112.07;111.50;112.92;110.50;115.57M;-0.29%
22032016;111.49;112.27;114.19;111.00;107.53M;-0.52%
23032016;109.10;111.27;112.10;108.70;104.19M;-2.14%
24032016;108.06;108.59;109.29;107.05;93.44M;-0.95%
25032016;109.10;108.62;109.50;108.62;32.98M;0.96%
28032016;108.12;110.00;110.11;107.69;50.13M;-0.90%
29032016;107.05;107.91;108.44;105.35;86.84M;-0.99%
30032016;109.15;107.98;109.91;107.52;84.47M;1.96%
31032016;109.90;108.72;110.59;107.32;106.59M;0.69%
01042016;108.52;109.30;109.40;107.01;101.28M;-1.26%
04042016;108.20;108.21;109.69;107.10;80.46M;-0.29%
05042016;106.87;107.24;107.64;106.00;75.66M;-1.23%
06042016;108.00;107.63;108.30;107.05;75.58M;1.06%
07042016;108.51;108.99;109.38;107.62;80.30M;0.47%
08042016;112.92;108.98;113.30;108.56;124.45M;4.06%
11042016;117.35;113.00;117.85;112.62;150.71M;3.92%
12042016;117.95;117.27;119.39;115.82;121.03M;0.51%
13042016;119.50;118.10;119.95;117.35;103.45M;1.31%
14042016;119.30;119.01;119.55;117.89;87.99M;-0.17%
15042016;119.30;118.95;119.91;118.11;70.46M;0.00%
18042016;118.20;117.12;118.20;116.01;91.83M;-0.92%
19042016;121.50;118.90;123.35;118.78;137.83M;2.79%
20042016;123.75;120.50;123.97;119.90;104.45M;1.85%
21042016;119.17;124.99;125.55;118.20;181.99M;-3.70%
22042016;121.25;119.68;121.39;117.90;103.03M;1.75%
25042016;120.08;121.01;121.51;119.60;67.35M;-0.96%
26042016;119.70;119.98;119.98;116.75;87.58M;-0.32%
27042016;120.80;120.25;122.37;119.57;90.78M;0.92%
28042016;124.39;121.31;124.39;120.00;86.15M;2.97%
29042016;123.55;124.43;125.78;122.00;102.85M;-0.68%
04052016;120.96;121.50;122.39;119.31;84.92M;-2.10%
05052016;120.92;121.46;122.30;120.40;56.07M;-0.03%
06052016;120.64;120.27;120.86;118.41;70.32M;-0.23%
10052016;119.55;119.80;121.35;118.57;66.14M;-0.90%
11052016;123.45;120.01;123.62;119.57;85.40M;3.26%
12052016;121.20;123.46;124.38;121.01;82.20M;-1.82%
13052016;121.07;121.50;121.95;119.69;63.73M;-0.11%
16052016;122.60;122.20;123.62;121.63;59.17M;1.26%
17052016;122.71;122.85;123.27;120.60;72.51M;0.09%
18052016;123.12;122.49;123.54;121.83;50.05M;0.33%
19052016;120.50;121.96;122.17;120.30;72.44M;-2.13%
20052016;121.90;121.83;122.47;120.80;54.01M;1.16%
23052016;121.51;121.30;122.20;120.12;56.41M;-0.32%
