Дата;Цена;Откр;Макс;Мин;Объём;Изм %
04012016;73.88;76.86;76.86;73.00;7.12M;-3.42%
05012016;74.23;73.90;74.46;73.06;6.04M;0.47%
06012016;72.62;73.99;75.50;72.42;10.80M;-2.17%
11012016;69.11;70.50;71.01;69.07;17.04M;-4.83%
12012016;69.32;68.01;70.08;66.84;14.73M;0.30%
13012016;70.60;69.96;70.99;69.70;11.63M;1.85%
14012016;70.57;69.72;70.65;69.31;12.10M;-0.04%
15012016;66.80;70.17;70.80;66.73;17.80M;-5.34%
18012016;66.33;66.10;67.42;65.50;12.67M;-0.70%
19012016;66.10;67.00;68.54;65.35;14.13M;-0.35%
20012016;63.55;65.00;65.25;63.51;17.90M;-3.86%
21012016;65.39;63.64;65.68;63.45;18.03M;2.90%
22012016;68.75;67.40;69.50;66.70;18.50M;5.14%
25012016;66.75;70.00;70.00;65.70;18.09M;-2.91%
26012016;67.21;65.80;67.40;65.13;15.29M;0.69%
27012016;68.80;67.25;69.27;66.98;15.68M;2.37%
28012016;68.89;68.99;70.21;67.36;29.01M;0.13%
29012016;68.50;69.66;70.45;68.02;16.85M;-0.57%
01022016;69.50;68.90;69.67;67.72;14.22M;1.46%
02022016;67.96;69.00;70.11;67.17;17.14M;-2.22%
03022016;68.25;67.48;69.10;67.40;11.74M;0.43%
04022016;70.79;69.80;71.40;69.29;21.63M;3.72%
05022016;70.89;70.59;71.20;70.01;10.74M;0.14%
08022016;69.06;71.10;71.80;68.61;14.42M;-2.58%
09022016;68.65;68.66;69.80;68.20;8.86M;-0.59%
10022016;70.11;68.89;70.33;68.03;8.78M;2.13%
11022016;68.28;69.50;69.84;67.51;10.51M;-2.61%
12022016;69.30;68.95;69.63;68.45;8.46M;1.49%
15022016;69.32;69.90;70.50;69.29;7.18M;0.03%
16022016;69.62;70.01;70.49;69.07;7.75M;0.43%
17022016;71.29;69.80;71.68;69.42;9.99M;2.40%
18022016;73.25;71.93;73.38;71.72;15.06M;2.75%
19022016;71.93;72.48;73.37;71.61;10.12M;-1.80%
20022016;72.63;72.00;72.69;72.00;1.51M;0.97%
22022016;73.60;72.82;73.78;72.51;4.28M;1.34%
24022016;72.34;72.80;73.00;71.81;6.21M;-1.71%
25022016;73.76;72.70;74.04;71.80;9.53M;1.96%
26022016;75.21;74.31;75.69;74.20;10.77M;1.97%
29022016;76.90;74.70;76.90;74.35;7.27M;2.25%
01032016;77.31;77.04;77.95;76.63;8.75M;0.53%
02032016;75.20;78.20;78.29;75.20;7.73M;-2.73%
03032016;75.80;75.50;76.59;75.00;6.70M;0.80%
04032016;76.82;76.10;76.87;75.70;6.21M;1.35%
07032016;77.82;77.40;77.84;77.15;4.65M;1.30%
09032016;76.51;77.50;77.60;76.03;8.67M;-1.68%
10032016;75.56;76.06;77.21;75.55;11.01M;-1.24%
11032016;77.03;76.00;77.76;75.83;15.21M;1.95%
14032016;76.80;77.20;77.20;75.77;7.80M;-0.30%
15032016;75.62;77.13;77.50;75.62;12.43M;-1.54%
16032016;77.00;75.90;77.40;75.86;11.04M;1.82%
17032016;78.45;77.56;78.74;77.30;17.19M;1.88%
18032016;79.70;78.35;80.17;78.10;12.66M;1.59%
21032016;79.81;79.30;79.84;78.33;10.57M;0.14%
22032016;80.03;79.71;80.64;79.01;11.55M;0.28%
23032016;78.93;79.50;80.30;78.34;10.48M;-1.37%
24032016;78.75;78.41;78.92;77.91;8.68M;-0.23%
25032016;79.65;78.77;79.80;78.77;3.64M;1.14%
28032016;78.65;79.88;80.25;78.47;5.14M;-1.26%
29032016;77.60;78.28;78.75;76.76;7.48M;-1.34%
30032016;79.09;78.37;79.40;78.14;5.28M;1.92%
31032016;79.09;78.68;79.29;77.51;9.52M;0.00%
01042016;77.29;78.35;78.49;77.00;11.54M;-2.28%
04042016;76.26;77.36;77.77;75.35;17.40M;-1.33%
05042016;75.13;75.49;75.49;74.12;10.23M;-1.48%
06042016;76.10;75.51;76.43;75.03;9.45M;1.29%
07042016;76.80;76.76;77.41;76.12;10.25M;0.92%
08042016;78.75;77.37;79.21;76.92;14.24M;2.54%
11042016;81.85;78.75;82.00;78.59;25.96M;3.94%
12042016;81.92;82.00;83.04;80.67;14.49M;0.09%
13042016;82.45;82.04;82.68;81.29;12.06M;0.65%
14042016;81.20;82.05;82.43;80.80;10.75M;-1.52%
15042016;80.84;81.16;81.49;80.35;10.25M;-0.44%
18042016;81.07;79.12;81.31;78.93;18.84M;0.28%
19042016;82.80;81.49;84.44;81.49;13.95M;2.13%
20042016;83.88;82.02;84.08;82.00;10.34M;1.30%
21042016;82.95;84.46;84.92;81.99;20.43M;-1.11%
22042016;84.08;82.97;84.35;82.30;10.93M;1.36%
25042016;82.85;83.62;84.18;82.75;7.72M;-1.46%
26042016;82.37;82.90;82.90;80.84;11.30M;-0.58%
27042016;83.09;82.61;84.00;82.31;10.66M;0.87%
28042016;83.91;83.30;84.53;82.56;10.46M;0.99%
29042016;84.00;83.98;84.99;83.00;13.43M;0.11%
04052016;82.08;82.50;83.30;81.28;6.39M;-2.29%
05052016;82.50;82.16;83.25;81.92;4.99M;0.51%
06052016;82.78;81.72;83.17;81.22;6.39M;0.34%
10052016;82.25;82.04;83.16;81.24;4.97M;-0.64%
