Дата;Цена;Откр;Макс;Мин;Объём;Изм %
05012016;571.00;571.00;571.00;571.00;0.01K;-0.66%
11012016;575.20;575.00;575.20;575.00;4.29K;0.74%
12012016;574.40;574.00;574.40;574.00;4.41K;-0.14%
13012016;575.00;574.80;575.00;574.80;3.60K;0.10%
14012016;575.30;575.10;575.30;575.10;4.05K;0.05%
15012016;574.50;570.50;575.00;562.00;3.18K;-0.14%
18012016;573.50;574.50;574.50;573.50;1.35K;-0.17%
19012016;574.20;574.50;575.10;574.20;3.23M;0.12%
20012016;574.20;574.00;575.00;574.00;2.15M;0.00%
21012016;574.00;574.80;575.10;574.00;124.35K;-0.03%
22012016;575.30;575.10;575.30;575.10;5.22K;0.23%
25012016;575.40;575.00;575.40;575.00;5.11K;0.02%
26012016;583.00;574.50;583.00;574.50;5.11K;1.32%
27012016;582.00;583.50;583.50;581.00;451.99K;-0.17%
28012016;584.30;581.00;584.30;581.00;74.76K;0.40%
29012016;584.50;582.00;584.50;582.00;455.60K;0.03%
01022016;589.00;582.00;589.00;582.00;7.51K;0.77%
02022016;585.00;584.00;586.00;584.00;11.76K;-0.68%
03022016;584.00;582.00;584.00;582.00;9.75K;-0.17%
04022016;583.00;581.00;583.00;581.00;9.30K;-0.17%
05022016;590.00;581.00;590.00;581.00;11.42K;1.20%
08022016;584.00;581.00;584.00;581.00;11.25K;-1.02%
09022016;584.00;581.00;584.00;580.00;12.64K;0.00%
10022016;585.00;582.00;585.00;580.00;7.70K;0.17%
11022016;586.00;584.00;586.00;583.00;9.13K;0.17%
12022016;589.00;584.00;589.00;583.00;9.16K;0.51%
15022016;588.00;583.00;588.00;583.00;52.37K;-0.17%
16022016;585.00;585.00;588.00;584.00;190.51K;-0.51%
17022016;586.00;584.00;587.00;584.00;9.59K;0.17%
19022016;588.00;577.00;588.00;577.00;11.38K;0.34%
20022016;587.00;587.00;587.00;587.00;0.05K;-0.17%
24022016;585.00;584.00;588.00;584.00;12.03K;-0.34%
25022016;584.00;584.00;584.00;584.00;0.01K;-0.17%
26022016;576.00;577.00;577.00;576.00;0.03K;-1.37%
29022016;585.00;585.00;585.00;585.00;0.18K;1.56%
02032016;585.00;575.00;589.00;575.00;0.56K;0.00%
03032016;589.00;587.00;589.00;587.00;13.04K;0.68%
04032016;590.00;589.00;591.00;589.00;25.60K;0.17%
09032016;598.00;590.00;600.00;581.00;45.05K;1.36%
10032016;598.00;593.00;598.00;593.00;31.47K;0.00%
11032016;598.00;598.00;598.00;597.00;0.22K;0.00%
15032016;593.00;592.00;598.00;591.00;208.08K;-0.84%
16032016;594.00;596.00;597.00;591.00;448.47K;0.17%
17032016;586.00;598.00;598.00;586.00;208.76K;-1.35%
18032016;600.00;595.00;600.00;590.00;936.30K;2.39%
21032016;595.00;593.00;595.00;593.00;9.00K;-0.83%
22032016;596.00;595.00;596.00;595.00;11.98K;0.17%
23032016;596.00;595.00;596.00;595.00;12.00K;0.00%
24032016;597.00;594.00;597.00;594.00;13.51K;0.17%
25032016;595.00;601.00;602.00;594.00;174.69K;-0.34%
28032016;596.00;594.00;596.00;594.00;15.00K;0.17%
29032016;595.00;594.00;595.00;594.00;15.30K;-0.17%
30032016;604.00;594.00;604.00;594.00;17.51K;1.51%
31032016;596.00;597.00;597.00;596.00;16.50K;-1.32%
01042016;599.00;598.00;599.00;598.00;21.02K;0.50%
04042016;597.00;591.00;597.00;400.00;12.48K;-0.33%
05042016;590.00;598.00;598.00;590.00;11.34K;-1.17%
06042016;598.00;597.00;599.00;597.00;14.17K;1.36%
07042016;599.00;598.00;599.00;598.00;14.02K;0.17%
08042016;599.00;598.00;600.00;598.00;25.50K;0.00%
11042016;600.00;598.00;600.00;598.00;22.52K;0.17%
12042016;600.00;599.00;601.00;599.00;21.44K;0.00%
13042016;601.00;598.00;601.00;598.00;21.27K;0.17%
14042016;601.00;600.00;601.00;600.00;15.00K;0.00%
15042016;605.00;600.00;606.00;600.00;21.22K;0.67%
18042016;601.00;600.00;602.00;600.00;23.48K;-0.66%
19042016;601.00;601.00;601.00;601.00;10.50K;0.00%
20042016;600.00;601.00;606.00;591.00;13.68K;-0.17%
21042016;602.00;590.00;607.00;590.00;13.57K;0.33%
22042016;591.00;602.00;603.00;591.00;15.02K;-1.83%
25042016;602.00;602.00;603.00;602.00;12.00K;1.86%
26042016;603.00;602.00;603.00;602.00;15.00K;0.17%
27042016;592.00;603.00;604.00;592.00;9.01K;-1.82%
29042016;608.00;608.00;608.00;608.00;0.01K;2.70%
04052016;603.00;602.00;603.00;602.00;21.90K;-0.82%
