Дата;Цена;Откр;Макс;Мин;Объём;Изм %
29102019;1219.80;1202.00;1226.00;1200.20;68.38K;1.14%
30102019;1217.00;1225.00;1227.00;1212.80;36.69K;-0.23%
31102019;1216.00;1221.40;1223.80;1210.20;19.33K;-0.08%
01112019;1214.00;1218.40;1219.00;1212.60;16.63K;-0.16%
05112019;1198.00;1217.80;1220.00;1197.40;61.35K;-1.32%
06112019;1208.60;1209.80;1214.00;1190.00;21.72K;0.88%
07112019;1225.80;1220.00;1225.80;1201.20;38.22K;1.42%
08112019;1222.80;1226.20;1251.20;1216.00;20.25K;-0.24%
11112019;1222.00;1229.80;1230.00;1216.20;7.09K;-0.07%
12112019;1235.60;1228.00;1242.00;1223.40;27.39K;1.11%
13112019;1239.40;1248.60;1248.60;1231.60;33.64K;0.31%
14112019;1261.20;1248.60;1276.40;1235.20;84.60K;1.76%
15112019;1250.00;1276.00;1312.40;1249.20;33.71K;-0.89%
18112019;1255.00;1274.80;1275.80;1250.20;43.93K;0.40%
19112019;1241.00;1274.00;1274.00;1235.60;128.52K;-1.12%
20112019;1215.80;1250.00;1252.00;1215.00;126.02K;-2.03%
21112019;1210.80;1219.80;1221.40;1206.00;63.45K;-0.41%
22112019;1202.00;1219.40;1219.60;1196.40;80.22K;-0.73%
25112019;1206.00;1209.20;1220.20;1200.80;52.07K;0.33%
26112019;1199.40;1207.20;1212.00;1197.00;128.23K;-0.55%
27112019;1203.00;1208.00;1208.20;1199.80;70.64K;0.30%
28112019;1194.20;1207.60;1207.60;1191.00;117.22K;-0.73%
29112019;1185.80;1204.60;1205.00;1174.60;87.85K;-0.70%
02122019;1176.40;1177.00;1199.60;1174.80;62.36K;-0.79%
03122019;1133.00;1161.00;1179.80;1130.00;127.20K;-3.69%
04122019;1140.00;1135.00;1140.00;1126.60;34.01K;0.62%
05122019;1167.80;1144.60;1174.20;1137.20;72.01K;2.44%
06122019;1186.20;1169.80;1192.00;1167.00;125.11K;1.58%
09122019;1228.40;1207.80;1230.00;1180.40;89.71K;3.56%
10122019;1238.80;1230.00;1248.00;1221.00;158.24K;0.85%
11122019;1234.80;1243.00;1264.80;1219.00;102.81K;-0.32%
12122019;1235.00;1244.00;1245.00;1224.20;176.04K;0.02%
13122019;1257.20;1249.00;1257.80;1204.40;92.56K;1.80%
16122019;1300.00;1266.00;1305.00;1251.00;244.47K;3.40%
17122019;1299.60;1304.80;1314.00;1290.80;90.45K;-0.03%
18122019;1322.40;1308.80;1327.60;1301.40;117.31K;1.75%
19122019;1340.00;1325.80;1340.00;1317.40;200.15K;1.33%
20122019;1285.60;1333.80;1333.80;1285.00;183.51K;-4.06%
23122019;1304.60;1285.60;1309.60;1285.60;56.85K;1.48%
24122019;1310.00;1302.00;1310.00;1300.00;42.68K;0.41%
25122019;1313.80;1313.00;1346.00;1300.00;36.18K;0.29%
26122019;1305.00;1301.00;1310.00;1281.00;25.84K;-0.67%
27122019;1308.60;1319.80;1339.00;1295.20;65.86K;0.28%
30122019;1311.20;1317.00;1335.80;1301.40;38.12K;0.20%
03012020;1332.40;1317.20;1353.00;1317.20;86.04K;1.62%
06012020;1322.80;1340.00;1349.40;1312.00;54.39K;-0.72%
08012020;1350.20;1315.20;1350.20;1312.40;69.11K;2.07%
09012020;1366.80;1350.20;1368.00;1333.80;65.03K;1.23%
10012020;1398.40;1355.20;1401.00;1355.00;73.35K;2.31%
13012020;1426.40;1384.60;1434.40;1384.40;309.45K;2.00%
14012020;1426.40;1440.80;1450.00;1405.20;405.08K;0.00%
15012020;1453.80;1437.40;1473.20;1414.80;439.15K;1.92%
