Дата;Цена;Откр;Макс;Мин;Объём;Изм %
04012016;0.077190;0.079510;0.079510;0.077020;7.23B;-3.15%
05012016;0.075320;0.076800;0.078190;0.075000;12.52B;-2.42%
06012016;0.075170;0.075500;0.075500;0.074000;10.88B;-0.20%
11012016;0.072250;0.073800;0.073900;0.072000;11.19B;-3.88%
12012016;0.073620;0.071630;0.074430;0.070610;20.08B;1.90%
13012016;0.072250;0.074250;0.074650;0.072100;16.35B;-1.86%
14012016;0.071860;0.071000;0.073000;0.071000;20.37B;-0.54%
15012016;0.069500;0.071390;0.072150;0.069000;35.41B;-3.28%
18012016;0.069400;0.069370;0.069970;0.067790;22.30B;-0.14%
19012016;0.069400;0.070450;0.071200;0.068220;28.62B;0.00%
20012016;0.067500;0.068400;0.068780;0.066340;32.41B;-2.74%
21012016;0.067490;0.067490;0.068290;0.066050;28.84B;-0.01%
22012016;0.069600;0.068200;0.070360;0.066140;43.88B;3.13%
25012016;0.068450;0.070550;0.070600;0.067800;19.65B;-1.65%
26012016;0.067660;0.067750;0.068250;0.067000;11.88B;-1.15%
27012016;0.068670;0.067810;0.068880;0.067630;13.37B;1.49%
28012016;0.071600;0.068750;0.071640;0.068090;31.41B;4.27%
29012016;0.073700;0.071860;0.073700;0.071270;27.12B;2.93%
01022016;0.073500;0.073400;0.074850;0.072510;15.35B;-0.27%
02022016;0.070740;0.072830;0.073700;0.070130;15.69B;-3.76%
03022016;0.069520;0.070130;0.071740;0.069510;16.42B;-1.72%
04022016;0.071990;0.070950;0.072460;0.070520;18.13B;3.55%
05022016;0.071150;0.071780;0.072440;0.070900;11.16B;-1.17%
08022016;0.069750;0.071270;0.071550;0.069520;11.13B;-1.97%
09022016;0.068460;0.069720;0.070960;0.068330;18.86B;-1.85%
10022016;0.069400;0.068710;0.069930;0.067820;12.40B;1.37%
11022016;0.067940;0.068950;0.069180;0.066540;21.99B;-2.10%
12022016;0.069300;0.068340;0.069480;0.068170;10.21B;2.00%
15022016;0.070600;0.070400;0.071110;0.069850;11.78B;1.88%
16022016;0.070460;0.071200;0.071700;0.070030;13.14B;-0.20%
17022016;0.071320;0.070150;0.071700;0.069730;13.31B;1.22%
18022016;0.073550;0.071710;0.073900;0.071570;22.17B;3.13%
19022016;0.072700;0.072580;0.073250;0.071900;13.28B;-1.16%
20022016;0.072310;0.072610;0.073200;0.072260;2.90B;-0.54%
22022016;0.073300;0.072350;0.073780;0.072220;5.09B;1.37%
24022016;0.071750;0.072570;0.072940;0.070820;13.22B;-2.11%
25022016;0.071440;0.071980;0.072700;0.070850;13.38B;-0.43%
26022016;0.071980;0.072210;0.072810;0.071700;12.32B;0.76%
29022016;0.073400;0.071530;0.073400;0.071260;12.47B;1.97%
01032016;0.072200;0.073480;0.074800;0.072100;19.05B;-1.63%
02032016;0.072500;0.073000;0.073090;0.072080;9.37B;0.42%
03032016;0.073300;0.072900;0.073800;0.072220;12.50B;1.10%
04032016;0.074500;0.073530;0.074500;0.072910;10.54B;1.64%
07032016;0.077100;0.074580;0.077100;0.074580;13.27B;3.49%
09032016;0.075630;0.076140;0.076600;0.075150;10.81B;-1.91%
10032016;0.076180;0.076080;0.076660;0.074450;14.38B;0.73%
11032016;0.076500;0.076490;0.076780;0.075600;12.85B;0.42%
14032016;0.074880;0.076980;0.076980;0.074500;9.72B;-2.12%
15032016;0.074560;0.075100;0.075520;0.073940;23.49B;-0.43%
16032016;0.075900;0.074730;0.075900;0.074170;7.97B;1.80%
17032016;0.077190;0.076340;0.077900;0.076120;19.48B;1.70%
18032016;0.077560;0.077030;0.078540;0.076540;18.80B;0.48%
21032016;0.075300;0.077250;0.077250;0.074800;14.18B;-2.91%
22032016;0.073460;0.075350;0.075950;0.072660;18.12B;-2.44%
23032016;0.073650;0.073500;0.074450;0.072850;11.53B;0.26%
24032016;0.074000;0.073300;0.074210;0.073080;10.03B;0.48%
25032016;0.073670;0.074500;0.074700;0.073590;4.64B;-0.45%
28032016;0.072540;0.074000;0.074190;0.071920;10.41B;-1.53%
29032016;0.073000;0.072460;0.073000;0.071670;11.20B;0.63%
30032016;0.074700;0.073600;0.074700;0.073310;12.30B;2.33%
31032016;0.076680;0.074110;0.077550;0.074070;29.12B;2.65%
01042016;0.074500;0.076390;0.076460;0.073520;17.67B;-2.84%
04042016;0.075550;0.074000;0.076430;0.073840;12.23B;1.41%
05042016;0.073980;0.074950;0.075490;0.073830;8.62B;-2.08%
06042016;0.073900;0.074450;0.074670;0.073070;9.81B;-0.11%
07042016;0.074370;0.074470;0.074950;0.073500;8.16B;0.64%
08042016;0.074650;0.074410;0.075990;0.074110;13.39B;0.38%
11042016;0.076940;0.074940;0.076950;0.074600;13.83B;3.07%
12042016;0.075100;0.076710;0.077500;0.075050;13.82B;-2.39%
13042016;0.076800;0.075330;0.077400;0.075330;15.61B;2.26%
14042016;0.074850;0.076660;0.077310;0.073200;29.28B;-2.54%
15042016;0.075270;0.074890;0.075770;0.073670;25.36B;0.56%
18042016;0.073500;0.073800;0.074470;0.072080;22.14B;-2.35%
19042016;0.073400;0.073600;0.074690;0.072660;28.09B;-0.14%
20042016;0.073410;0.073200;0.073500;0.072170;16.94B;0.01%
21042016;0.071640;0.074000;0.074230;0.071310;22.93B;-2.41%
22042016;0.072000;0.071740;0.072650;0.070720;19.65B;0.50%
25042016;0.071540;0.071900;0.072370;0.070930;14.58B;-0.64%
26042016;0.070200;0.071410;0.071900;0.069520;15.41B;-1.87%
27042016;0.070870;0.070880;0.071730;0.070030;14.07B;0.95%
28042016;0.071450;0.070750;0.071450;0.070190;10.48B;0.82%
29042016;0.070050;0.071250;0.071800;0.069810;19.40B;-1.96%
04052016;0.070100;0.069400;0.070100;0.067630;36.69B;0.07%
05052016;0.070200;0.070170;0.070200;0.068820;19.05B;0.14%
06052016;0.069000;0.069750;0.069890;0.068510;13.44B;-1.71%
10052016;0.068500;0.068550;0.069340;0.068050;16.55B;-0.72%
11052016;0.069500;0.068540;0.069820;0.068370;21.19B;1.46%
12052016;0.069000;0.069800;0.070460;0.068350;14.88B;-0.72%
13052016;0.068800;0.068880;0.069210;0.068050;11.79B;-0.29%
16052016;0.069590;0.069440;0.070120;0.069010;13.88B;1.15%
17052016;0.068900;0.069710;0.069990;0.068100;17.21B;-0.99%
18052016;0.069000;0.068600;0.069140;0.068360;6.25B;0.15%
19052016;0.068160;0.068600;0.068740;0.068150;9.56B;-1.22%
20052016;0.068500;0.068600;0.068640;0.067160;14.33B;0.50%
23052016;0.068500;0.068200;0.068500;0.067600;7.50B;0.00%
24052016;0.069000;0.068340;0.069000;0.067880;9.04B;0.73%
25052016;0.069900;0.069290;0.070260;0.069200;15.62B;1.30%
26052016;0.070000;0.070350;0.070750;0.069050;17.73B;0.14%
27052016;0.069220;0.069610;0.069900;0.069090;8.08B;-1.11%
30052016;0.069870;0.069420;0.070200;0.069100;6.42B;0.94%
31052016;0.068400;0.069620;0.070300;0.067780;15.25B;-2.10%
01062016;0.068320;0.068480;0.068820;0.067940;12.64B;-0.12%
02062016;0.067920;0.068540;0.068600;0.067770;8.14B;-0.59%
03062016;0.068400;0.068050;0.068880;0.067920;11.24B;0.71%
06062016;0.069500;0.068200;0.069900;0.068080;9.26B;1.61%
07062016;0.070300;0.069320;0.070860;0.069200;14.72B;1.15%
08062016;0.072000;0.070570;0.072100;0.069630;17.45B;2.42%
09062016;0.073000;0.072050;0.073590;0.072050;27.80B;1.39%
10062016;0.072800;0.072600;0.073100;0.071540;24.28B;-0.27%
14062016;0.071000;0.072260;0.072720;0.070500;27.50B;-2.47%
15062016;0.070130;0.070800;0.071750;0.070050;19.09B;-1.23%
16062016;0.069200;0.069530;0.069990;0.067760;17.53B;-1.33%
17062016;0.069000;0.069570;0.070700;0.068350;13.22B;-0.29%
20062016;0.069990;0.069620;0.070380;0.069260;5.86B;1.43%
21062016;0.070180;0.069620;0.070450;0.069100;6.17B;0.27%
22062016;0.069000;0.070180;0.070430;0.068800;9.01B;-1.68%
23062016;0.069500;0.069350;0.069740;0.068340;5.58B;0.72%
24062016;0.068780;0.068460;0.068780;0.066500;16.28B;-1.04%
27062016;0.067000;0.068540;0.068760;0.067000;8.71B;-2.59%
28062016;0.067630;0.067460;0.067740;0.066550;10.35B;0.94%
29062016;0.068700;0.067780;0.068700;0.067550;7.50B;1.58%
30062016;0.068000;0.068800;0.069000;0.067310;10.22B;-1.02%
01072016;0.067350;0.067350;0.068050;0.067100;6.82B;-0.96%
04072016;0.067390;0.067700;0.067880;0.066900;4.50B;0.06%
05072016;0.067010;0.067220;0.067380;0.066700;3.59B;-0.56%
06072016;0.067230;0.066760;0.067400;0.066540;5.46B;0.33%
07072016;0.068050;0.067500;0.069370;0.067390;15.04B;1.22%
08072016;0.068190;0.067530;0.068500;0.067510;7.15B;0.21%
11072016;0.068890;0.068500;0.069470;0.067950;6.74B;1.03%
12072016;0.069050;0.069050;0.069940;0.068810;8.53B;0.23%
13072016;0.067500;0.069060;0.069360;0.067480;12.10B;-2.24%
14072016;0.068490;0.067900;0.068490;0.067640;6.72B;1.47%
15072016;0.068320;0.068300;0.068570;0.067600;6.86B;-0.25%
18072016;0.068750;0.068230;0.068820;0.067860;7.17B;0.63%
19072016;0.067600;0.068530;0.068530;0.066800;18.75B;-1.67%
20072016;0.066900;0.067110;0.067670;0.066610;7.33B;-1.04%
21072016;0.067590;0.067230;0.067630;0.066890;4.01B;1.03%
22072016;0.067110;0.067390;0.067870;0.067110;3.58B;-0.71%
25072016;0.067940;0.067440;0.068200;0.067200;5.47B;1.24%
26072016;0.067710;0.067880;0.068200;0.067120;4.66B;-0.34%
