Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;;;
Листинг;;;;;;;;;;;
Московская Биржа; XS0764253455; Ирландская ФБ; Берлинская биржа;;;;;;;;Московская Биржа
Ирландская ФБ; XS0605637056;; Берлинская биржа;;;;;;;;Ирландская ФБ
; Берлинская биржа; Лондонская ФБ;; Ирландская ФБ; Ирландская ФБ; Берлинская биржа;;;;; СПБ Биржа
Венская ФБ;; 24.12.2015); Ирландская ФБ; Берлинская биржа; XS0848530977; СПБ Биржа; СПБ Биржа;;;;Венская ФБ
Франкфуртская ФБ; XS0882561821; лот - 1 шт. (Третий уровень; 05.02.2015); Лондонская ФБ; Берлинская биржа; X94600; ROSN0322; VTBperp;;;Франкфуртская ФБ
Люксембургская ФБ; XS0553072611; 14.10.2014); 10.12.2014); СПБ Биржа; X23713; GMKN1022; SBER0222;;;;Люксембургская ФБ
Лондонская ФБ; XS0748114005; 30.10.2014); 08.10.2014); RZD0422; Итальянская ФБ - EuroTLX; LUK1126; LUK0423;;;;Лондонская ФБ
Московская Биржа (Третий уровень; XS0877983642; Люксембургская ФБ; 07.04.2020); Люксембургская ФБ; СПБ Биржа; GMKN0423; GAZP0322;;;; Итальянская ФБ
The International Stock Exchange (TISE); XS0795156719; 11.11.2016); 27.08.2021); Итальянская ФБ - EuroTLX; XS1822383094; SCFL0623; GAZP0837;;;;The International Stock Exchange (TISE)
Швейцарская ФБ; XS0863439161; 19.08.2016); 21.09.2015); ALFA0430; XS1589106910; PLZL0223; XS0191754729;;;;Швейцарская ФБ
Берлинская биржа; XS0833264335; Франкфуртская ФБ; 13.11.2020); CHMF0924; XS0304274599; XS1603335610; XS0559915961;;;;Берлинская биржа
Сингапурская ФБ; XS0886632685; Берлинская биржа; 05.11.2015); GAZP0326; GAZP0325; EVRZ0323; ALFA0421;;;;Сингапурская ФБ
РТС; XS0885873322; 18.05.2016); 15.11.2022); STLF0623; XS1964558339; GAZP0327; XS0935311240;;;;РТС
; XS0249577213; 21.10.2022); 30.10.2014); ALFAperp0222; GAZP1128; GAZP1124; XS0885736925;;;; Nasdaq Nordic
; XS0889402029; 21.11.2022); СПБ Биржа; RSHB1023; BDD7TL2; GTLK0721; CHMF1022;;;;
; XS0884734343; Итальянская ФБ - EuroTLX; 25.12.2020); XS1577953174; XS2113968148; PLZL0322; XS0893212398;;;;
; XS0922142574; 07.09.2016); 19.07.2019); XS1693971043; XS2114337798; XS1752568144; 29.01.2021);;;;
